
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.8333
Epoch 0 | Batch 5/830 | Current Loss: 2.7789
Epoch 0 | Batch 10/830 | Current Loss: 4.3341
Epoch 0 | Batch 15/830 | Current Loss: 1.5086
Epoch 0 | Batch 20/830 | Current Loss: 1.5828
Epoch 0 | Batch 25/830 | Current Loss: 2.3544
Epoch 0 | Batch 30/830 | Current Loss: 2.8973
Epoch 0 | Batch 35/830 | Current Loss: 2.6018
Epoch 0 | Batch 40/830 | Current Loss: 2.5311
Epoch 0 | Batch 45/830 | Current Loss: 2.4947
Epoch 0 | Batch 50/830 | Current Loss: 2.3334
Epoch 0 | Batch 55/830 | Current Loss: 2.0513
Epoch 0 | Batch 60/830 | Current Loss: 1.8386
Epoch 0 | Batch 65/830 | Current Loss: 2.4953
Epoch 0 | Batch 70/830 | Current Loss: 1.8739
Epoch 0 | Batch 75/830 | Current Loss: 2.7081
Epoch 0 | Batch 80/830 | Current Loss: 1.7940
Epoch 0 | Batch 85/830 | Current Loss: 2.0058
Epoch 0 | Batch 90/830 | Current Loss: 2.6598
Epoch 0 | Batch 95/830 | Current Loss: 2.4669
Epoch 0 | Batch 100/830 | Current Loss: 2.7733
Epoch 0 | Batch 105/830 | Current Loss: 2.4647
Epoch 0 | Batch 110/830 | Current Loss: 2.4805
Epoch 0 | Batch 115/830 | Current Loss: 1.8955
Epoch 0 | Batch 120/830 | Current Loss: 1.8236
Epoch 0 | Batch 125/830 | Current Loss: 2.8397
Epoch 0 | Batch 130/830 | Current Loss: 3.0752
Epoch 0 | Batch 135/830 | Current Loss: 1.8909
Epoch 0 | Batch 140/830 | Current Loss: 2.3126
Epoch 0 | Batch 145/830 | Current Loss: 3.7571
Epoch 0 | Batch 150/830 | Current Loss: 2.2768
Epoch 0 | Batch 155/830 | Current Loss: 2.5322
Epoch 0 | Batch 160/830 | Current Loss: 2.1374
Epoch 0 | Batch 165/830 | Current Loss: 1.6233
Epoch 0 | Batch 170/830 | Current Loss: 1.4983
Epoch 0 | Batch 175/830 | Current Loss: 2.0217
Epoch 0 | Batch 180/830 | Current Loss: 2.5546
Epoch 0 | Batch 185/830 | Current Loss: 2.4793
Epoch 0 | Batch 190/830 | Current Loss: 2.3371
Epoch 0 | Batch 195/830 | Current Loss: 2.0469
Epoch 0 | Batch 200/830 | Current Loss: 1.8108
Epoch 0 | Batch 205/830 | Current Loss: 1.7123
Epoch 0 | Batch 210/830 | Current Loss: 1.8076
Epoch 0 | Batch 215/830 | Current Loss: 2.0392
Epoch 0 | Batch 220/830 | Current Loss: 2.1412
Epoch 0 | Batch 225/830 | Current Loss: 1.1239
Epoch 0 | Batch 230/830 | Current Loss: 2.4614
Epoch 0 | Batch 235/830 | Current Loss: 2.7242
