
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.5688
Epoch 0 | Batch 5/830 | Current Loss: 2.4379
Epoch 0 | Batch 10/830 | Current Loss: 3.6193
Epoch 0 | Batch 15/830 | Current Loss: 3.5049
Epoch 0 | Batch 20/830 | Current Loss: 1.6346
Epoch 0 | Batch 25/830 | Current Loss: 0.7990
Epoch 0 | Batch 30/830 | Current Loss: 2.2724
Epoch 0 | Batch 35/830 | Current Loss: 0.9100
Epoch 0 | Batch 40/830 | Current Loss: 2.0941
Epoch 0 | Batch 45/830 | Current Loss: 1.9865
Epoch 0 | Batch 50/830 | Current Loss: 2.8423
Epoch 0 | Batch 55/830 | Current Loss: 1.9223
Epoch 0 | Batch 60/830 | Current Loss: 3.2990
Epoch 0 | Batch 65/830 | Current Loss: 2.3480
Epoch 0 | Batch 70/830 | Current Loss: 1.5772
Epoch 0 | Batch 75/830 | Current Loss: 2.3325
Epoch 0 | Batch 80/830 | Current Loss: 1.9069
Epoch 0 | Batch 85/830 | Current Loss: 1.1353
Epoch 0 | Batch 90/830 | Current Loss: 1.6282
Epoch 0 | Batch 95/830 | Current Loss: 2.4319
Epoch 0 | Batch 100/830 | Current Loss: 1.2847
Epoch 0 | Batch 105/830 | Current Loss: 3.1677
Epoch 0 | Batch 110/830 | Current Loss: 2.2922
Epoch 0 | Batch 115/830 | Current Loss: 1.7342
Epoch 0 | Batch 120/830 | Current Loss: 1.3854
Epoch 0 | Batch 125/830 | Current Loss: 2.7462
Epoch 0 | Batch 130/830 | Current Loss: 2.1412
Epoch 0 | Batch 135/830 | Current Loss: 2.5747
Epoch 0 | Batch 140/830 | Current Loss: 1.3027
Epoch 0 | Batch 145/830 | Current Loss: 1.6026
Epoch 0 | Batch 150/830 | Current Loss: 1.5366
Epoch 0 | Batch 155/830 | Current Loss: 1.5920
Epoch 0 | Batch 160/830 | Current Loss: 2.1213
Epoch 0 | Batch 165/830 | Current Loss: 2.3292
Epoch 0 | Batch 170/830 | Current Loss: 2.2200
