
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.9243
Epoch 0 | Batch 5/830 | Current Loss: 2.9706
Epoch 0 | Batch 10/830 | Current Loss: 2.7200
Epoch 0 | Batch 15/830 | Current Loss: 2.8133
Epoch 0 | Batch 20/830 | Current Loss: 2.4007
Epoch 0 | Batch 25/830 | Current Loss: 2.5184
Epoch 0 | Batch 30/830 | Current Loss: 2.4932
Epoch 0 | Batch 35/830 | Current Loss: 2.6094
Epoch 0 | Batch 40/830 | Current Loss: 1.9898
Epoch 0 | Batch 45/830 | Current Loss: 2.7731
Epoch 0 | Batch 50/830 | Current Loss: 2.6548
Epoch 0 | Batch 55/830 | Current Loss: 2.3598
Epoch 0 | Batch 60/830 | Current Loss: 2.5591
Epoch 0 | Batch 65/830 | Current Loss: 1.8081
Epoch 0 | Batch 70/830 | Current Loss: 1.8999
Epoch 0 | Batch 75/830 | Current Loss: 2.5752
Epoch 0 | Batch 80/830 | Current Loss: 2.5966
Epoch 0 | Batch 85/830 | Current Loss: 1.9110
Epoch 0 | Batch 90/830 | Current Loss: 1.9172
Epoch 0 | Batch 95/830 | Current Loss: 2.7951
Epoch 0 | Batch 100/830 | Current Loss: 2.1666
Epoch 0 | Batch 105/830 | Current Loss: 1.7809
Epoch 0 | Batch 110/830 | Current Loss: 2.2328
Epoch 0 | Batch 115/830 | Current Loss: 2.3071
Epoch 0 | Batch 120/830 | Current Loss: 2.3875
Epoch 0 | Batch 125/830 | Current Loss: 2.3798
Epoch 0 | Batch 130/830 | Current Loss: 2.4061
Epoch 0 | Batch 135/830 | Current Loss: 1.7973
Epoch 0 | Batch 140/830 | Current Loss: 2.6436
Epoch 0 | Batch 145/830 | Current Loss: 2.7275
Epoch 0 | Batch 150/830 | Current Loss: 1.9788
Epoch 0 | Batch 155/830 | Current Loss: 1.3162
Epoch 0 | Batch 160/830 | Current Loss: 3.1671
Epoch 0 | Batch 165/830 | Current Loss: 1.8523
Epoch 0 | Batch 170/830 | Current Loss: 2.4515
Epoch 0 | Batch 175/830 | Current Loss: 2.7120
Epoch 0 | Batch 180/830 | Current Loss: 2.8001
Epoch 0 | Batch 185/830 | Current Loss: 1.7756
Epoch 0 | Batch 190/830 | Current Loss: 2.2425
Epoch 0 | Batch 195/830 | Current Loss: 2.7472
Epoch 0 | Batch 200/830 | Current Loss: 1.9737
Epoch 0 | Batch 205/830 | Current Loss: 2.3279
Epoch 0 | Batch 210/830 | Current Loss: 2.9311
Epoch 0 | Batch 215/830 | Current Loss: 1.4813
Epoch 0 | Batch 220/830 | Current Loss: 2.0458
Epoch 0 | Batch 225/830 | Current Loss: 2.0856
Epoch 0 | Batch 230/830 | Current Loss: 3.0371
Epoch 0 | Batch 235/830 | Current Loss: 2.6410
Epoch 0 | Batch 240/830 | Current Loss: 2.0551
Epoch 0 | Batch 245/830 | Current Loss: 2.3469
Epoch 0 | Batch 250/830 | Current Loss: 2.2077
Epoch 0 | Batch 255/830 | Current Loss: 2.7113
Epoch 0 | Batch 260/830 | Current Loss: 2.9113
Epoch 0 | Batch 265/830 | Current Loss: 2.4841
Epoch 0 | Batch 270/830 | Current Loss: 1.8475
Epoch 0 | Batch 275/830 | Current Loss: 3.4868
Epoch 0 | Batch 280/830 | Current Loss: 2.5754
Epoch 0 | Batch 285/830 | Current Loss: 1.2373
Epoch 0 | Batch 290/830 | Current Loss: 1.5081
Epoch 0 | Batch 295/830 | Current Loss: 2.5513
Epoch 0 | Batch 300/830 | Current Loss: 2.2593
Epoch 0 | Batch 305/830 | Current Loss: 2.3896
Epoch 0 | Batch 310/830 | Current Loss: 1.5823
Epoch 0 | Batch 315/830 | Current Loss: 2.2821
Epoch 0 | Batch 320/830 | Current Loss: 3.3109
Epoch 0 | Batch 325/830 | Current Loss: 2.8376
Epoch 0 | Batch 330/830 | Current Loss: 2.0081
Epoch 0 | Batch 335/830 | Current Loss: 3.2463
Epoch 0 | Batch 340/830 | Current Loss: 2.0990
Epoch 0 | Batch 345/830 | Current Loss: 1.9323
Epoch 0 | Batch 350/830 | Current Loss: 1.8957
Epoch 0 | Batch 355/830 | Current Loss: 1.6475
Epoch 0 | Batch 360/830 | Current Loss: 2.8665
Epoch 0 | Batch 365/830 | Current Loss: 2.0778
Epoch 0 | Batch 370/830 | Current Loss: 2.0230
Epoch 0 | Batch 375/830 | Current Loss: 1.8929
Epoch 0 | Batch 380/830 | Current Loss: 1.8031
Epoch 0 | Batch 385/830 | Current Loss: 2.1324
Epoch 0 | Batch 390/830 | Current Loss: 2.9792
Epoch 0 | Batch 395/830 | Current Loss: 2.1391
Epoch 0 | Batch 400/830 | Current Loss: 2.3879
Epoch 0 | Batch 405/830 | Current Loss: 2.5599
Epoch 0 | Batch 410/830 | Current Loss: 1.6145
Epoch 0 | Batch 415/830 | Current Loss: 1.4880
Epoch 0 | Batch 420/830 | Current Loss: 2.2885
Epoch 0 | Batch 425/830 | Current Loss: 2.1521
Epoch 0 | Batch 430/830 | Current Loss: 2.5468
Epoch 0 | Batch 435/830 | Current Loss: 1.9437
Epoch 0 | Batch 440/830 | Current Loss: 2.6221
Epoch 0 | Batch 445/830 | Current Loss: 2.3715
