
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.7001
Epoch 0 | Batch 5/830 | Current Loss: 2.3776
Epoch 0 | Batch 10/830 | Current Loss: 2.4553
Epoch 0 | Batch 15/830 | Current Loss: 2.3182
Epoch 0 | Batch 20/830 | Current Loss: 2.4778
Epoch 0 | Batch 25/830 | Current Loss: 2.1350
Epoch 0 | Batch 30/830 | Current Loss: 2.6023
Epoch 0 | Batch 35/830 | Current Loss: 1.7871
Epoch 0 | Batch 40/830 | Current Loss: 2.5001
Epoch 0 | Batch 45/830 | Current Loss: 1.5703
Epoch 0 | Batch 50/830 | Current Loss: 1.1964
Epoch 0 | Batch 55/830 | Current Loss: 1.9501
Epoch 0 | Batch 60/830 | Current Loss: 2.4693
Epoch 0 | Batch 65/830 | Current Loss: 1.2838
Epoch 0 | Batch 70/830 | Current Loss: 2.6717
Epoch 0 | Batch 75/830 | Current Loss: 1.7935
Epoch 0 | Batch 80/830 | Current Loss: 1.6968
Epoch 0 | Batch 85/830 | Current Loss: 2.3401
Epoch 0 | Batch 90/830 | Current Loss: 1.4988
Epoch 0 | Batch 95/830 | Current Loss: 1.6028
Epoch 0 | Batch 100/830 | Current Loss: 1.6169
Epoch 0 | Batch 105/830 | Current Loss: 2.3219
Epoch 0 | Batch 110/830 | Current Loss: 1.9268
Epoch 0 | Batch 115/830 | Current Loss: 1.6579
Epoch 0 | Batch 120/830 | Current Loss: 2.8156
Epoch 0 | Batch 125/830 | Current Loss: 1.7551
Epoch 0 | Batch 130/830 | Current Loss: 1.4802
Epoch 0 | Batch 135/830 | Current Loss: 2.3969
Epoch 0 | Batch 140/830 | Current Loss: 2.0436
Epoch 0 | Batch 145/830 | Current Loss: 2.0636
Epoch 0 | Batch 150/830 | Current Loss: 1.3964
