
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.9676
Epoch 0 | Batch 5/830 | Current Loss: 2.5327
Epoch 0 | Batch 10/830 | Current Loss: 2.0910
Epoch 0 | Batch 15/830 | Current Loss: 2.5837
Epoch 0 | Batch 20/830 | Current Loss: 2.0011
Epoch 0 | Batch 25/830 | Current Loss: 2.1005
Epoch 0 | Batch 30/830 | Current Loss: 2.5864
Epoch 0 | Batch 35/830 | Current Loss: 1.9746
Epoch 0 | Batch 40/830 | Current Loss: 1.8238
Epoch 0 | Batch 45/830 | Current Loss: 1.3994
Epoch 0 | Batch 50/830 | Current Loss: 1.9197
Epoch 0 | Batch 55/830 | Current Loss: 3.1693
Epoch 0 | Batch 60/830 | Current Loss: 1.7802
Epoch 0 | Batch 65/830 | Current Loss: 2.3136
Epoch 0 | Batch 70/830 | Current Loss: 2.0426
Epoch 0 | Batch 75/830 | Current Loss: 1.5571
Epoch 0 | Batch 80/830 | Current Loss: 3.0215
Epoch 0 | Batch 85/830 | Current Loss: 2.4387
Epoch 0 | Batch 90/830 | Current Loss: 1.9981
Epoch 0 | Batch 95/830 | Current Loss: 2.9340
Epoch 0 | Batch 100/830 | Current Loss: 2.5886
Epoch 0 | Batch 105/830 | Current Loss: 2.6308
Epoch 0 | Batch 110/830 | Current Loss: 2.7128
Epoch 0 | Batch 115/830 | Current Loss: 1.9220
Epoch 0 | Batch 120/830 | Current Loss: 1.7448
Epoch 0 | Batch 125/830 | Current Loss: 1.6315
Epoch 0 | Batch 130/830 | Current Loss: 1.8709
Epoch 0 | Batch 135/830 | Current Loss: 1.4382
Epoch 0 | Batch 140/830 | Current Loss: 3.2061
Epoch 0 | Batch 145/830 | Current Loss: 3.8541
Epoch 0 | Batch 150/830 | Current Loss: 1.9950
Epoch 0 | Batch 155/830 | Current Loss: 2.4785
Epoch 0 | Batch 160/830 | Current Loss: 2.8642
Epoch 0 | Batch 165/830 | Current Loss: 2.1990
Epoch 0 | Batch 170/830 | Current Loss: 1.4802
Epoch 0 | Batch 175/830 | Current Loss: 2.2375
Epoch 0 | Batch 180/830 | Current Loss: 3.3257
Epoch 0 | Batch 185/830 | Current Loss: 1.6037
Epoch 0 | Batch 190/830 | Current Loss: 2.9687
Epoch 0 | Batch 195/830 | Current Loss: 2.7472
Epoch 0 | Batch 200/830 | Current Loss: 2.9323
Epoch 0 | Batch 205/830 | Current Loss: 2.8711
Epoch 0 | Batch 210/830 | Current Loss: 1.6908
Epoch 0 | Batch 215/830 | Current Loss: 2.1151
Epoch 0 | Batch 220/830 | Current Loss: 2.8655
Epoch 0 | Batch 225/830 | Current Loss: 2.4956
Epoch 0 | Batch 230/830 | Current Loss: 2.5106
Epoch 0 | Batch 235/830 | Current Loss: 1.9766
Epoch 0 | Batch 240/830 | Current Loss: 1.7183
Epoch 0 | Batch 245/830 | Current Loss: 2.1847
Epoch 0 | Batch 250/830 | Current Loss: 2.3318
Epoch 0 | Batch 255/830 | Current Loss: 2.3205
Epoch 0 | Batch 260/830 | Current Loss: 1.4576
Epoch 0 | Batch 265/830 | Current Loss: 1.8496
Epoch 0 | Batch 270/830 | Current Loss: 2.3427
Epoch 0 | Batch 275/830 | Current Loss: 3.7002
Epoch 0 | Batch 280/830 | Current Loss: 3.6506
Epoch 0 | Batch 285/830 | Current Loss: 2.2296
Epoch 0 | Batch 290/830 | Current Loss: 2.1983
Epoch 0 | Batch 295/830 | Current Loss: 2.2633
Epoch 0 | Batch 300/830 | Current Loss: 1.8549
Epoch 0 | Batch 305/830 | Current Loss: 2.5731
Epoch 0 | Batch 310/830 | Current Loss: 1.3336
Epoch 0 | Batch 315/830 | Current Loss: 2.3566
Epoch 0 | Batch 320/830 | Current Loss: 2.5144
Epoch 0 | Batch 325/830 | Current Loss: 1.3334
Epoch 0 | Batch 330/830 | Current Loss: 1.8086
Epoch 0 | Batch 335/830 | Current Loss: 1.7452
Epoch 0 | Batch 340/830 | Current Loss: 1.2257
Epoch 0 | Batch 345/830 | Current Loss: 3.0837
Epoch 0 | Batch 350/830 | Current Loss: 1.6397
Epoch 0 | Batch 355/830 | Current Loss: 2.6587
Epoch 0 | Batch 360/830 | Current Loss: 1.4485
Epoch 0 | Batch 365/830 | Current Loss: 1.2524
Epoch 0 | Batch 370/830 | Current Loss: 2.5784
Epoch 0 | Batch 375/830 | Current Loss: 2.8124
Epoch 0 | Batch 380/830 | Current Loss: 1.6506
Epoch 0 | Batch 385/830 | Current Loss: 1.9531
Epoch 0 | Batch 390/830 | Current Loss: 1.5004
Epoch 0 | Batch 395/830 | Current Loss: 2.3492
Epoch 0 | Batch 400/830 | Current Loss: 1.8631
Epoch 0 | Batch 405/830 | Current Loss: 3.7032
Epoch 0 | Batch 410/830 | Current Loss: 1.4711
Epoch 0 | Batch 415/830 | Current Loss: 1.9230
Epoch 0 | Batch 420/830 | Current Loss: 2.2780
Epoch 0 | Batch 425/830 | Current Loss: 1.4842
Epoch 0 | Batch 430/830 | Current Loss: 3.8391
Epoch 0 | Batch 435/830 | Current Loss: 1.4010
Epoch 0 | Batch 440/830 | Current Loss: 2.3075
Epoch 0 | Batch 445/830 | Current Loss: 1.8220
Epoch 0 | Batch 450/830 | Current Loss: 1.8061
Epoch 0 | Batch 455/830 | Current Loss: 2.6435
Epoch 0 | Batch 460/830 | Current Loss: 2.2419
Epoch 0 | Batch 465/830 | Current Loss: 2.3465
Epoch 0 | Batch 470/830 | Current Loss: 4.1732
Epoch 0 | Batch 475/830 | Current Loss: 1.5033
Epoch 0 | Batch 480/830 | Current Loss: 2.7924
Epoch 0 | Batch 485/830 | Current Loss: 1.7009
Epoch 0 | Batch 490/830 | Current Loss: 2.8694
Epoch 0 | Batch 495/830 | Current Loss: 1.2862
Epoch 0 | Batch 500/830 | Current Loss: 2.4954
Epoch 0 | Batch 505/830 | Current Loss: 3.0144
Epoch 0 | Batch 510/830 | Current Loss: 2.1918
Epoch 0 | Batch 515/830 | Current Loss: 1.3782
Epoch 0 | Batch 520/830 | Current Loss: 2.2806
Epoch 0 | Batch 525/830 | Current Loss: 2.8525
Epoch 0 | Batch 530/830 | Current Loss: 2.4132
Epoch 0 | Batch 535/830 | Current Loss: 1.4947
Epoch 0 | Batch 540/830 | Current Loss: 1.0108
Epoch 0 | Batch 545/830 | Current Loss: 1.4337
Epoch 0 | Batch 550/830 | Current Loss: 2.2464
Epoch 0 | Batch 555/830 | Current Loss: 2.4600
Epoch 0 | Batch 560/830 | Current Loss: 2.0408
Epoch 0 | Batch 565/830 | Current Loss: 3.3308
Epoch 0 | Batch 570/830 | Current Loss: 2.3682
Epoch 0 | Batch 575/830 | Current Loss: 2.4879
Epoch 0 | Batch 580/830 | Current Loss: 2.6935
Epoch 0 | Batch 585/830 | Current Loss: 2.1587
Epoch 0 | Batch 590/830 | Current Loss: 2.2078
Epoch 0 | Batch 595/830 | Current Loss: 1.9523
Epoch 0 | Batch 600/830 | Current Loss: 3.1361
Epoch 0 | Batch 605/830 | Current Loss: 1.2818
Epoch 0 | Batch 610/830 | Current Loss: 1.7513
