
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.3790
Epoch 0 | Batch 5/830 | Current Loss: 0.9783
Epoch 0 | Batch 10/830 | Current Loss: 0.8514
Epoch 0 | Batch 15/830 | Current Loss: 1.2577
Epoch 0 | Batch 20/830 | Current Loss: 0.4894
Epoch 0 | Batch 25/830 | Current Loss: 1.9255
Epoch 0 | Batch 30/830 | Current Loss: 0.8573
Epoch 0 | Batch 35/830 | Current Loss: 2.6842
Epoch 0 | Batch 40/830 | Current Loss: 1.9978
Epoch 0 | Batch 45/830 | Current Loss: 2.3641
Epoch 0 | Batch 50/830 | Current Loss: 2.3791
Epoch 0 | Batch 55/830 | Current Loss: 1.5669
Epoch 0 | Batch 60/830 | Current Loss: 2.7870
Epoch 0 | Batch 65/830 | Current Loss: 0.9161
Epoch 0 | Batch 70/830 | Current Loss: 2.2060
Epoch 0 | Batch 75/830 | Current Loss: 1.7588
Epoch 0 | Batch 80/830 | Current Loss: 2.5386
Epoch 0 | Batch 85/830 | Current Loss: 1.7211
Epoch 0 | Batch 90/830 | Current Loss: 2.4088
Epoch 0 | Batch 95/830 | Current Loss: 1.5279
Epoch 0 | Batch 100/830 | Current Loss: 2.0116
Epoch 0 | Batch 105/830 | Current Loss: 1.3528
Epoch 0 | Batch 110/830 | Current Loss: 1.4048
Epoch 0 | Batch 115/830 | Current Loss: 2.3614
Epoch 0 | Batch 120/830 | Current Loss: 2.1592
Epoch 0 | Batch 125/830 | Current Loss: 1.4031
Epoch 0 | Batch 130/830 | Current Loss: 3.8638
Epoch 0 | Batch 135/830 | Current Loss: 1.0438
Epoch 0 | Batch 140/830 | Current Loss: 1.8174
Epoch 0 | Batch 145/830 | Current Loss: 3.1914
Epoch 0 | Batch 150/830 | Current Loss: 2.3424
Epoch 0 | Batch 155/830 | Current Loss: 1.5509
Epoch 0 | Batch 160/830 | Current Loss: 1.5197
Epoch 0 | Batch 165/830 | Current Loss: 2.0298
Epoch 0 | Batch 170/830 | Current Loss: 1.8519
Epoch 0 | Batch 175/830 | Current Loss: 1.5097
Epoch 0 | Batch 180/830 | Current Loss: 1.8436
Epoch 0 | Batch 185/830 | Current Loss: 1.4769
Epoch 0 | Batch 190/830 | Current Loss: 1.3958
Epoch 0 | Batch 195/830 | Current Loss: 2.8705
Epoch 0 | Batch 200/830 | Current Loss: 1.4102
Epoch 0 | Batch 205/830 | Current Loss: 1.2592
Epoch 0 | Batch 210/830 | Current Loss: 2.0981
Epoch 0 | Batch 215/830 | Current Loss: 1.3877
Epoch 0 | Batch 220/830 | Current Loss: 3.2639
Epoch 0 | Batch 225/830 | Current Loss: 2.4981
Epoch 0 | Batch 230/830 | Current Loss: 1.8966
Epoch 0 | Batch 235/830 | Current Loss: 2.1698
Epoch 0 | Batch 240/830 | Current Loss: 1.0643
Epoch 0 | Batch 245/830 | Current Loss: 1.6678
Epoch 0 | Batch 250/830 | Current Loss: 0.8356
Epoch 0 | Batch 255/830 | Current Loss: 0.9085
Epoch 0 | Batch 260/830 | Current Loss: 1.5846
Epoch 0 | Batch 265/830 | Current Loss: 2.0589
Epoch 0 | Batch 270/830 | Current Loss: 1.6811
Epoch 0 | Batch 275/830 | Current Loss: 1.8954
Epoch 0 | Batch 280/830 | Current Loss: 2.4886
Epoch 0 | Batch 285/830 | Current Loss: 2.2089
Epoch 0 | Batch 290/830 | Current Loss: 1.0274
Epoch 0 | Batch 295/830 | Current Loss: 2.1970
Epoch 0 | Batch 300/830 | Current Loss: 0.5147
Epoch 0 | Batch 305/830 | Current Loss: 2.5625
Epoch 0 | Batch 310/830 | Current Loss: 2.4690
Epoch 0 | Batch 315/830 | Current Loss: 1.6113
Epoch 0 | Batch 320/830 | Current Loss: 1.2859
Epoch 0 | Batch 325/830 | Current Loss: 2.3080
Epoch 0 | Batch 330/830 | Current Loss: 1.5817
Epoch 0 | Batch 335/830 | Current Loss: 1.1249
Epoch 0 | Batch 340/830 | Current Loss: 1.8887
Epoch 0 | Batch 345/830 | Current Loss: 2.4394
Epoch 0 | Batch 350/830 | Current Loss: 1.6334
Epoch 0 | Batch 355/830 | Current Loss: 2.8004
Epoch 0 | Batch 360/830 | Current Loss: 1.3973
Epoch 0 | Batch 365/830 | Current Loss: 1.6580
Epoch 0 | Batch 370/830 | Current Loss: 2.4095
Epoch 0 | Batch 375/830 | Current Loss: 3.4215
Epoch 0 | Batch 380/830 | Current Loss: 2.5963
Epoch 0 | Batch 385/830 | Current Loss: 2.5743
Epoch 0 | Batch 390/830 | Current Loss: 2.1089
Epoch 0 | Batch 395/830 | Current Loss: 1.6452
Epoch 0 | Batch 400/830 | Current Loss: 2.5127
Epoch 0 | Batch 405/830 | Current Loss: 1.5927
Epoch 0 | Batch 410/830 | Current Loss: 1.4933
Epoch 0 | Batch 415/830 | Current Loss: 0.9854
Epoch 0 | Batch 420/830 | Current Loss: 2.2718
Epoch 0 | Batch 425/830 | Current Loss: 0.8832
Epoch 0 | Batch 430/830 | Current Loss: 1.6218
Epoch 0 | Batch 435/830 | Current Loss: 1.2670
Epoch 0 | Batch 440/830 | Current Loss: 1.4018
Epoch 0 | Batch 445/830 | Current Loss: 1.5236
Epoch 0 | Batch 450/830 | Current Loss: 1.7932
Epoch 0 | Batch 455/830 | Current Loss: 2.0160
Epoch 0 | Batch 460/830 | Current Loss: 1.3460
Epoch 0 | Batch 465/830 | Current Loss: 2.2652
Epoch 0 | Batch 470/830 | Current Loss: 1.8238
Epoch 0 | Batch 475/830 | Current Loss: 2.0900
Epoch 0 | Batch 480/830 | Current Loss: 2.1928
Epoch 0 | Batch 485/830 | Current Loss: 1.1721
Epoch 0 | Batch 490/830 | Current Loss: 1.8473
Epoch 0 | Batch 495/830 | Current Loss: 1.5131
Epoch 0 | Batch 500/830 | Current Loss: 0.9141
Epoch 0 | Batch 505/830 | Current Loss: 2.5034
Epoch 0 | Batch 510/830 | Current Loss: 3.2911
Epoch 0 | Batch 515/830 | Current Loss: 1.4619
Epoch 0 | Batch 520/830 | Current Loss: 1.5941
Epoch 0 | Batch 525/830 | Current Loss: 2.6409
Epoch 0 | Batch 530/830 | Current Loss: 1.8525
Epoch 0 | Batch 535/830 | Current Loss: 1.9826
Epoch 0 | Batch 540/830 | Current Loss: 2.4927
Epoch 0 | Batch 545/830 | Current Loss: 1.7291
Epoch 0 | Batch 550/830 | Current Loss: 1.7734
Epoch 0 | Batch 555/830 | Current Loss: 1.2884
Epoch 0 | Batch 560/830 | Current Loss: 2.2663
Epoch 0 | Batch 565/830 | Current Loss: 0.8354
Epoch 0 | Batch 570/830 | Current Loss: 1.7094
Epoch 0 | Batch 575/830 | Current Loss: 0.8964
Epoch 0 | Batch 580/830 | Current Loss: 2.0508
Epoch 0 | Batch 585/830 | Current Loss: 1.6631
Epoch 0 | Batch 590/830 | Current Loss: 1.7761
Epoch 0 | Batch 595/830 | Current Loss: 0.7264
Epoch 0 | Batch 600/830 | Current Loss: 1.5223
Epoch 0 | Batch 605/830 | Current Loss: 1.0832
Epoch 0 | Batch 610/830 | Current Loss: 2.5611
Epoch 0 | Batch 615/830 | Current Loss: 1.2651
Epoch 0 | Batch 620/830 | Current Loss: 2.6064
Epoch 0 | Batch 625/830 | Current Loss: 1.4656
Epoch 0 | Batch 630/830 | Current Loss: 2.2213
Epoch 0 | Batch 635/830 | Current Loss: 1.8365
Epoch 0 | Batch 640/830 | Current Loss: 1.9398
Epoch 0 | Batch 645/830 | Current Loss: 1.7710
Epoch 0 | Batch 650/830 | Current Loss: 0.3904
Epoch 0 | Batch 655/830 | Current Loss: 1.5114
Epoch 0 | Batch 660/830 | Current Loss: 1.2762
Epoch 0 | Batch 665/830 | Current Loss: 1.5430
Epoch 0 | Batch 670/830 | Current Loss: 1.5511
Epoch 0 | Batch 675/830 | Current Loss: 2.0561
Epoch 0 | Batch 680/830 | Current Loss: 1.4610
Epoch 0 | Batch 685/830 | Current Loss: 1.6242
Epoch 0 | Batch 690/830 | Current Loss: 1.6006
Epoch 0 | Batch 695/830 | Current Loss: 2.2437
Epoch 0 | Batch 700/830 | Current Loss: 1.8177
Epoch 0 | Batch 705/830 | Current Loss: 2.7672
Epoch 0 | Batch 710/830 | Current Loss: 2.8983
Epoch 0 | Batch 715/830 | Current Loss: 2.3620
Epoch 0 | Batch 720/830 | Current Loss: 2.0487
Epoch 0 | Batch 725/830 | Current Loss: 1.9848
Epoch 0 | Batch 730/830 | Current Loss: 0.6408
Epoch 0 | Batch 735/830 | Current Loss: 1.3404
Epoch 0 | Batch 740/830 | Current Loss: 1.4274
Epoch 0 | Batch 745/830 | Current Loss: 2.3405
Epoch 0 | Batch 750/830 | Current Loss: 1.7081
Epoch 0 | Batch 755/830 | Current Loss: 1.7467
Epoch 0 | Batch 760/830 | Current Loss: 1.4249
Epoch 0 | Batch 765/830 | Current Loss: 2.2615
Epoch 0 | Batch 770/830 | Current Loss: 1.3752
Epoch 0 | Batch 775/830 | Current Loss: 2.2193
Epoch 0 | Batch 780/830 | Current Loss: 2.0595
Epoch 0 | Batch 785/830 | Current Loss: 1.1761
Epoch 0 | Batch 790/830 | Current Loss: 2.5070
Epoch 0 | Batch 795/830 | Current Loss: 1.6728
Epoch 0 | Batch 800/830 | Current Loss: 1.1754
Epoch 0 | Batch 805/830 | Current Loss: 0.6180
Epoch 0 | Batch 810/830 | Current Loss: 1.2624
Epoch 0 | Batch 815/830 | Current Loss: 2.2811
Epoch 0 | Batch 820/830 | Current Loss: 2.9326
Epoch 0 | Batch 825/830 | Current Loss: 1.8350
--- Epoch 0 Complete | Avg Train Loss: 1.8549 | Val Loss: 1.8411 ---
Epoch 1 | Batch 0/830 | Current Loss: 1.9758
Epoch 1 | Batch 5/830 | Current Loss: 1.6333
Epoch 1 | Batch 10/830 | Current Loss: 1.8261
Epoch 1 | Batch 15/830 | Current Loss: 2.1112
Epoch 1 | Batch 20/830 | Current Loss: 2.0849
Epoch 1 | Batch 25/830 | Current Loss: 3.2470
Epoch 1 | Batch 30/830 | Current Loss: 1.2593
Epoch 1 | Batch 35/830 | Current Loss: 1.8115
Epoch 1 | Batch 40/830 | Current Loss: 2.5675
Epoch 1 | Batch 45/830 | Current Loss: 0.4886
Epoch 1 | Batch 50/830 | Current Loss: 2.2430
Epoch 1 | Batch 55/830 | Current Loss: 1.5665
Epoch 1 | Batch 60/830 | Current Loss: 1.5860
Epoch 1 | Batch 65/830 | Current Loss: 2.8813
Epoch 1 | Batch 70/830 | Current Loss: 1.7885
Epoch 1 | Batch 75/830 | Current Loss: 1.4276
Epoch 1 | Batch 80/830 | Current Loss: 1.9192
Epoch 1 | Batch 85/830 | Current Loss: 3.0820
Epoch 1 | Batch 90/830 | Current Loss: 1.1582
Epoch 1 | Batch 95/830 | Current Loss: 2.1022
Epoch 1 | Batch 100/830 | Current Loss: 1.5566
Epoch 1 | Batch 105/830 | Current Loss: 0.8614
Epoch 1 | Batch 110/830 | Current Loss: 1.8405
Epoch 1 | Batch 115/830 | Current Loss: 2.1403
Epoch 1 | Batch 120/830 | Current Loss: 2.3203
Epoch 1 | Batch 125/830 | Current Loss: 1.2665
Epoch 1 | Batch 130/830 | Current Loss: 3.3176
Epoch 1 | Batch 135/830 | Current Loss: 0.9990
Epoch 1 | Batch 140/830 | Current Loss: 1.9148
Epoch 1 | Batch 145/830 | Current Loss: 2.1150
Epoch 1 | Batch 150/830 | Current Loss: 1.6695
Epoch 1 | Batch 155/830 | Current Loss: 2.6660
Epoch 1 | Batch 160/830 | Current Loss: 0.8136
Epoch 1 | Batch 165/830 | Current Loss: 2.0719
Epoch 1 | Batch 170/830 | Current Loss: 1.5846
Epoch 1 | Batch 175/830 | Current Loss: 2.4563
Epoch 1 | Batch 180/830 | Current Loss: 1.8953
Epoch 1 | Batch 185/830 | Current Loss: 1.9348
Epoch 1 | Batch 190/830 | Current Loss: 1.1268
Epoch 1 | Batch 195/830 | Current Loss: 4.2581
Epoch 1 | Batch 200/830 | Current Loss: 2.3830
Epoch 1 | Batch 205/830 | Current Loss: 1.7377
Epoch 1 | Batch 210/830 | Current Loss: 0.8928
Epoch 1 | Batch 215/830 | Current Loss: 1.2123
Epoch 1 | Batch 220/830 | Current Loss: 1.8761
Epoch 1 | Batch 225/830 | Current Loss: 2.2622
Epoch 1 | Batch 230/830 | Current Loss: 1.7036
Epoch 1 | Batch 235/830 | Current Loss: 2.2330
Epoch 1 | Batch 240/830 | Current Loss: 1.9150
Epoch 1 | Batch 245/830 | Current Loss: 1.7196
Epoch 1 | Batch 250/830 | Current Loss: 2.0389
Epoch 1 | Batch 255/830 | Current Loss: 2.5486
Epoch 1 | Batch 260/830 | Current Loss: 2.1169
Epoch 1 | Batch 265/830 | Current Loss: 1.6504
Epoch 1 | Batch 270/830 | Current Loss: 2.0143
Epoch 1 | Batch 275/830 | Current Loss: 2.4660
Epoch 1 | Batch 280/830 | Current Loss: 1.5938
Epoch 1 | Batch 285/830 | Current Loss: 2.8938
Epoch 1 | Batch 290/830 | Current Loss: 1.8937
Epoch 1 | Batch 295/830 | Current Loss: 0.8388
Epoch 1 | Batch 300/830 | Current Loss: 1.0960
Epoch 1 | Batch 305/830 | Current Loss: 0.9176
Epoch 1 | Batch 310/830 | Current Loss: 0.7931
Epoch 1 | Batch 315/830 | Current Loss: 2.6349
Epoch 1 | Batch 320/830 | Current Loss: 1.5279
Epoch 1 | Batch 325/830 | Current Loss: 1.5300
Epoch 1 | Batch 330/830 | Current Loss: 1.5278
Epoch 1 | Batch 335/830 | Current Loss: 1.5365
Epoch 1 | Batch 340/830 | Current Loss: 1.7696
Epoch 1 | Batch 345/830 | Current Loss: 2.5373
Epoch 1 | Batch 350/830 | Current Loss: 3.2104
Epoch 1 | Batch 355/830 | Current Loss: 2.1368
Epoch 1 | Batch 360/830 | Current Loss: 1.4878
Epoch 1 | Batch 365/830 | Current Loss: 1.7482
Epoch 1 | Batch 370/830 | Current Loss: 1.6503
Epoch 1 | Batch 375/830 | Current Loss: 1.7606
Epoch 1 | Batch 380/830 | Current Loss: 1.7113
Epoch 1 | Batch 385/830 | Current Loss: 1.5090
Epoch 1 | Batch 390/830 | Current Loss: 1.6796
Epoch 1 | Batch 395/830 | Current Loss: 1.8546
Epoch 1 | Batch 400/830 | Current Loss: 1.4670
Epoch 1 | Batch 405/830 | Current Loss: 1.4094
Epoch 1 | Batch 410/830 | Current Loss: 1.8453
Epoch 1 | Batch 415/830 | Current Loss: 1.0045
Epoch 1 | Batch 420/830 | Current Loss: 1.4392
Epoch 1 | Batch 425/830 | Current Loss: 1.5892
Epoch 1 | Batch 430/830 | Current Loss: 2.4070
Epoch 1 | Batch 435/830 | Current Loss: 1.3252
Epoch 1 | Batch 440/830 | Current Loss: 3.1057
Epoch 1 | Batch 445/830 | Current Loss: 1.1271
Epoch 1 | Batch 450/830 | Current Loss: 2.4909
Epoch 1 | Batch 455/830 | Current Loss: 1.9827
