
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.9550
Epoch 0 | Batch 5/830 | Current Loss: 2.8784
Epoch 0 | Batch 10/830 | Current Loss: 2.9333
Epoch 0 | Batch 15/830 | Current Loss: 2.4885
Epoch 0 | Batch 20/830 | Current Loss: 2.7287
Epoch 0 | Batch 25/830 | Current Loss: 2.7283
Epoch 0 | Batch 30/830 | Current Loss: 2.7214
Epoch 0 | Batch 35/830 | Current Loss: 2.7262
Epoch 0 | Batch 40/830 | Current Loss: 2.3381
Epoch 0 | Batch 45/830 | Current Loss: 2.3215
Epoch 0 | Batch 50/830 | Current Loss: 2.6513
Epoch 0 | Batch 55/830 | Current Loss: 2.6119
Epoch 0 | Batch 60/830 | Current Loss: 1.9542
Epoch 0 | Batch 65/830 | Current Loss: 2.9641
Epoch 0 | Batch 70/830 | Current Loss: 2.3899
Epoch 0 | Batch 75/830 | Current Loss: 2.2368
Epoch 0 | Batch 80/830 | Current Loss: 2.6504
Epoch 0 | Batch 85/830 | Current Loss: 2.3375
Epoch 0 | Batch 90/830 | Current Loss: 2.1603
Epoch 0 | Batch 95/830 | Current Loss: 1.8133
Epoch 0 | Batch 100/830 | Current Loss: 2.2928
Epoch 0 | Batch 105/830 | Current Loss: 3.2182
Epoch 0 | Batch 110/830 | Current Loss: 2.3386
Epoch 0 | Batch 115/830 | Current Loss: 3.1003
Epoch 0 | Batch 120/830 | Current Loss: 1.6978
Epoch 0 | Batch 125/830 | Current Loss: 2.5002
Epoch 0 | Batch 130/830 | Current Loss: 2.4337
Epoch 0 | Batch 135/830 | Current Loss: 2.0226
Epoch 0 | Batch 140/830 | Current Loss: 1.7598
Epoch 0 | Batch 145/830 | Current Loss: 1.4582
Epoch 0 | Batch 150/830 | Current Loss: 2.8521
Epoch 0 | Batch 155/830 | Current Loss: 1.9803
Epoch 0 | Batch 160/830 | Current Loss: 2.0154
Epoch 0 | Batch 165/830 | Current Loss: 2.7014
Epoch 0 | Batch 170/830 | Current Loss: 1.6586
Epoch 0 | Batch 175/830 | Current Loss: 1.7220
Epoch 0 | Batch 180/830 | Current Loss: 2.0710
Epoch 0 | Batch 185/830 | Current Loss: 1.7988
Epoch 0 | Batch 190/830 | Current Loss: 2.1993
Epoch 0 | Batch 195/830 | Current Loss: 2.6270
Epoch 0 | Batch 200/830 | Current Loss: 3.0969
Epoch 0 | Batch 205/830 | Current Loss: 1.9399
Epoch 0 | Batch 210/830 | Current Loss: 1.9842
Epoch 0 | Batch 215/830 | Current Loss: 2.1656
Epoch 0 | Batch 220/830 | Current Loss: 3.4012
Epoch 0 | Batch 225/830 | Current Loss: 2.1251
Epoch 0 | Batch 230/830 | Current Loss: 2.1399
Epoch 0 | Batch 235/830 | Current Loss: 2.3361
Epoch 0 | Batch 240/830 | Current Loss: 2.3679
Epoch 0 | Batch 245/830 | Current Loss: 1.9797
Epoch 0 | Batch 250/830 | Current Loss: 3.1058
Epoch 0 | Batch 255/830 | Current Loss: 1.7904
Epoch 0 | Batch 260/830 | Current Loss: 1.8546
Epoch 0 | Batch 265/830 | Current Loss: 3.0621
Epoch 0 | Batch 270/830 | Current Loss: 1.9947
Epoch 0 | Batch 275/830 | Current Loss: 2.6054
Epoch 0 | Batch 280/830 | Current Loss: 1.8550
Epoch 0 | Batch 285/830 | Current Loss: 2.8445
Epoch 0 | Batch 290/830 | Current Loss: 2.0546
Epoch 0 | Batch 295/830 | Current Loss: 2.2908
Epoch 0 | Batch 300/830 | Current Loss: 2.0413
Epoch 0 | Batch 305/830 | Current Loss: 1.8518
Epoch 0 | Batch 310/830 | Current Loss: 2.0953
Epoch 0 | Batch 315/830 | Current Loss: 2.2533
Epoch 0 | Batch 320/830 | Current Loss: 1.8553
Epoch 0 | Batch 325/830 | Current Loss: 3.1990
Epoch 0 | Batch 330/830 | Current Loss: 1.6950
Epoch 0 | Batch 335/830 | Current Loss: 2.3441
Epoch 0 | Batch 340/830 | Current Loss: 3.4658
Epoch 0 | Batch 345/830 | Current Loss: 2.2780
Epoch 0 | Batch 350/830 | Current Loss: 2.3064
Epoch 0 | Batch 355/830 | Current Loss: 1.9985
Epoch 0 | Batch 360/830 | Current Loss: 1.8068
Epoch 0 | Batch 365/830 | Current Loss: 1.9569
Epoch 0 | Batch 370/830 | Current Loss: 1.9627
Epoch 0 | Batch 375/830 | Current Loss: 1.6387
Epoch 0 | Batch 380/830 | Current Loss: 1.7219
