
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.7872
Epoch 0 | Batch 5/830 | Current Loss: 2.7310
Epoch 0 | Batch 10/830 | Current Loss: 2.6138
Epoch 0 | Batch 15/830 | Current Loss: 2.5589
Epoch 0 | Batch 20/830 | Current Loss: 2.1071
Epoch 0 | Batch 25/830 | Current Loss: 1.9643
Epoch 0 | Batch 30/830 | Current Loss: 2.1634
Epoch 0 | Batch 35/830 | Current Loss: 1.9906
Epoch 0 | Batch 40/830 | Current Loss: 1.6166
Epoch 0 | Batch 45/830 | Current Loss: 2.4289
Epoch 0 | Batch 50/830 | Current Loss: 3.1885
Epoch 0 | Batch 55/830 | Current Loss: 1.6044
Epoch 0 | Batch 60/830 | Current Loss: 1.5997
Epoch 0 | Batch 65/830 | Current Loss: 2.0900
Epoch 0 | Batch 70/830 | Current Loss: 2.1700
Epoch 0 | Batch 75/830 | Current Loss: 1.5892
Epoch 0 | Batch 80/830 | Current Loss: 1.5146
Epoch 0 | Batch 85/830 | Current Loss: 2.2784
Epoch 0 | Batch 90/830 | Current Loss: 1.4121
Epoch 0 | Batch 95/830 | Current Loss: 1.6643
Epoch 0 | Batch 100/830 | Current Loss: 1.9698
Epoch 0 | Batch 105/830 | Current Loss: 1.7129
Epoch 0 | Batch 110/830 | Current Loss: 2.2348
Epoch 0 | Batch 115/830 | Current Loss: 2.1623
Epoch 0 | Batch 120/830 | Current Loss: 2.1829
Epoch 0 | Batch 125/830 | Current Loss: 2.3868
Epoch 0 | Batch 130/830 | Current Loss: 2.3273
Epoch 0 | Batch 135/830 | Current Loss: 2.4666
Epoch 0 | Batch 140/830 | Current Loss: 1.0643
Epoch 0 | Batch 145/830 | Current Loss: 1.7239
Epoch 0 | Batch 150/830 | Current Loss: 1.3917
Epoch 0 | Batch 155/830 | Current Loss: 1.9766
Epoch 0 | Batch 160/830 | Current Loss: 2.5649
Epoch 0 | Batch 165/830 | Current Loss: 0.7463
Epoch 0 | Batch 170/830 | Current Loss: 1.4927
Epoch 0 | Batch 175/830 | Current Loss: 0.7481
Epoch 0 | Batch 180/830 | Current Loss: 1.8825
Epoch 0 | Batch 185/830 | Current Loss: 2.9483
Epoch 0 | Batch 190/830 | Current Loss: 2.2022
Epoch 0 | Batch 195/830 | Current Loss: 1.2214
Epoch 0 | Batch 200/830 | Current Loss: 2.0432
Epoch 0 | Batch 205/830 | Current Loss: 1.4950
Epoch 0 | Batch 210/830 | Current Loss: 1.4322
Epoch 0 | Batch 215/830 | Current Loss: 1.8257
Epoch 0 | Batch 220/830 | Current Loss: 2.2368
Epoch 0 | Batch 225/830 | Current Loss: 1.2713
Epoch 0 | Batch 230/830 | Current Loss: 2.7031
Epoch 0 | Batch 235/830 | Current Loss: 1.6203
Epoch 0 | Batch 240/830 | Current Loss: 0.9791
Epoch 0 | Batch 245/830 | Current Loss: 2.5985
Epoch 0 | Batch 250/830 | Current Loss: 1.1928
Epoch 0 | Batch 255/830 | Current Loss: 1.8997
Epoch 0 | Batch 260/830 | Current Loss: 1.9153
Epoch 0 | Batch 265/830 | Current Loss: 1.4358
Epoch 0 | Batch 270/830 | Current Loss: 1.4862
Epoch 0 | Batch 275/830 | Current Loss: 1.7648
Epoch 0 | Batch 280/830 | Current Loss: 2.0409
Epoch 0 | Batch 285/830 | Current Loss: 1.7186
Epoch 0 | Batch 290/830 | Current Loss: 1.6146
Epoch 0 | Batch 295/830 | Current Loss: 3.1609
Epoch 0 | Batch 300/830 | Current Loss: 2.1986
Epoch 0 | Batch 305/830 | Current Loss: 2.5631
Epoch 0 | Batch 310/830 | Current Loss: 2.0226
Epoch 0 | Batch 315/830 | Current Loss: 1.2028
Epoch 0 | Batch 320/830 | Current Loss: 2.0944
Epoch 0 | Batch 325/830 | Current Loss: 1.6659
Epoch 0 | Batch 330/830 | Current Loss: 2.4568
Epoch 0 | Batch 335/830 | Current Loss: 1.7226
Epoch 0 | Batch 340/830 | Current Loss: 1.1575
Epoch 0 | Batch 345/830 | Current Loss: 1.4347
Epoch 0 | Batch 350/830 | Current Loss: 2.2935
Epoch 0 | Batch 355/830 | Current Loss: 2.4662
Epoch 0 | Batch 360/830 | Current Loss: 1.4665
Epoch 0 | Batch 365/830 | Current Loss: 2.0891
Epoch 0 | Batch 370/830 | Current Loss: 2.8568
Epoch 0 | Batch 375/830 | Current Loss: 1.7955
Epoch 0 | Batch 380/830 | Current Loss: 3.3126
Epoch 0 | Batch 385/830 | Current Loss: 1.0899
Epoch 0 | Batch 390/830 | Current Loss: 1.6835
Epoch 0 | Batch 395/830 | Current Loss: 0.9834
Epoch 0 | Batch 400/830 | Current Loss: 1.6426
Epoch 0 | Batch 405/830 | Current Loss: 2.4750
Epoch 0 | Batch 410/830 | Current Loss: 2.1419
Epoch 0 | Batch 415/830 | Current Loss: 2.2741
Epoch 0 | Batch 420/830 | Current Loss: 2.7536
Epoch 0 | Batch 425/830 | Current Loss: 1.6250
Epoch 0 | Batch 430/830 | Current Loss: 2.0476
Epoch 0 | Batch 435/830 | Current Loss: 2.6003
Epoch 0 | Batch 440/830 | Current Loss: 1.7698
Epoch 0 | Batch 445/830 | Current Loss: 1.5881
Epoch 0 | Batch 450/830 | Current Loss: 2.0388
Epoch 0 | Batch 455/830 | Current Loss: 2.0776
Epoch 0 | Batch 460/830 | Current Loss: 2.6262
Epoch 0 | Batch 465/830 | Current Loss: 1.1693
Epoch 0 | Batch 470/830 | Current Loss: 1.6231
Epoch 0 | Batch 475/830 | Current Loss: 1.8198
Epoch 0 | Batch 480/830 | Current Loss: 1.7214
Epoch 0 | Batch 485/830 | Current Loss: 1.8415
Epoch 0 | Batch 490/830 | Current Loss: 2.1752
Epoch 0 | Batch 495/830 | Current Loss: 2.0900
Epoch 0 | Batch 500/830 | Current Loss: 1.8664
Epoch 0 | Batch 505/830 | Current Loss: 2.5283
Epoch 0 | Batch 510/830 | Current Loss: 1.6959
Epoch 0 | Batch 515/830 | Current Loss: 1.4098
Epoch 0 | Batch 520/830 | Current Loss: 2.3999
Epoch 0 | Batch 525/830 | Current Loss: 1.8916
Epoch 0 | Batch 530/830 | Current Loss: 2.0630
Epoch 0 | Batch 535/830 | Current Loss: 2.1370
Epoch 0 | Batch 540/830 | Current Loss: 1.8027
Epoch 0 | Batch 545/830 | Current Loss: 1.2406
Epoch 0 | Batch 550/830 | Current Loss: 1.5864
Epoch 0 | Batch 555/830 | Current Loss: 2.5437
Epoch 0 | Batch 560/830 | Current Loss: 0.8793
Epoch 0 | Batch 565/830 | Current Loss: 1.8519
Epoch 0 | Batch 570/830 | Current Loss: 1.9843
Epoch 0 | Batch 575/830 | Current Loss: 1.4685
Epoch 0 | Batch 580/830 | Current Loss: 2.0266
Epoch 0 | Batch 585/830 | Current Loss: 1.0134
Epoch 0 | Batch 590/830 | Current Loss: 1.9211
Epoch 0 | Batch 595/830 | Current Loss: 0.7195
Epoch 0 | Batch 600/830 | Current Loss: 2.2298
Epoch 0 | Batch 605/830 | Current Loss: 2.4490
Epoch 0 | Batch 610/830 | Current Loss: 1.6420
Epoch 0 | Batch 615/830 | Current Loss: 1.8105
Epoch 0 | Batch 620/830 | Current Loss: 1.6249
Epoch 0 | Batch 625/830 | Current Loss: 2.0937
Epoch 0 | Batch 630/830 | Current Loss: 2.3854
Epoch 0 | Batch 635/830 | Current Loss: 2.1366
Epoch 0 | Batch 640/830 | Current Loss: 1.9399
Epoch 0 | Batch 645/830 | Current Loss: 1.8547
Epoch 0 | Batch 650/830 | Current Loss: 1.2018
Epoch 0 | Batch 655/830 | Current Loss: 2.7361
Epoch 0 | Batch 660/830 | Current Loss: 0.9880
Epoch 0 | Batch 665/830 | Current Loss: 1.0567
Epoch 0 | Batch 670/830 | Current Loss: 1.1398
Epoch 0 | Batch 675/830 | Current Loss: 1.0811
Epoch 0 | Batch 680/830 | Current Loss: 1.5207
Epoch 0 | Batch 685/830 | Current Loss: 1.9940
Epoch 0 | Batch 690/830 | Current Loss: 1.8512
Epoch 0 | Batch 695/830 | Current Loss: 1.8110
Epoch 0 | Batch 700/830 | Current Loss: 1.6473
Epoch 0 | Batch 705/830 | Current Loss: 1.7266
Epoch 0 | Batch 710/830 | Current Loss: 1.9851
Epoch 0 | Batch 715/830 | Current Loss: 1.6125
Epoch 0 | Batch 720/830 | Current Loss: 0.8946
Epoch 0 | Batch 725/830 | Current Loss: 1.3716
Epoch 0 | Batch 730/830 | Current Loss: 1.5191
Epoch 0 | Batch 735/830 | Current Loss: 2.7166
Epoch 0 | Batch 740/830 | Current Loss: 1.7192
Epoch 0 | Batch 745/830 | Current Loss: 1.8055
Epoch 0 | Batch 750/830 | Current Loss: 1.3402
Epoch 0 | Batch 755/830 | Current Loss: 2.1865
