
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 3.0402
Epoch 0 | Batch 5/830 | Current Loss: 2.5511
Epoch 0 | Batch 10/830 | Current Loss: 1.9188
Epoch 0 | Batch 15/830 | Current Loss: 2.9565
Epoch 0 | Batch 20/830 | Current Loss: 2.3962
Epoch 0 | Batch 25/830 | Current Loss: 4.4755
Epoch 0 | Batch 30/830 | Current Loss: 1.2916
Epoch 0 | Batch 35/830 | Current Loss: 2.7233
Epoch 0 | Batch 40/830 | Current Loss: 2.1792
Epoch 0 | Batch 45/830 | Current Loss: 2.1720
Epoch 0 | Batch 50/830 | Current Loss: 2.0686
Epoch 0 | Batch 55/830 | Current Loss: 2.2047
Epoch 0 | Batch 60/830 | Current Loss: 1.8751
Epoch 0 | Batch 65/830 | Current Loss: 1.9996
Epoch 0 | Batch 70/830 | Current Loss: 2.3651
Epoch 0 | Batch 75/830 | Current Loss: 2.4593
Epoch 0 | Batch 80/830 | Current Loss: 1.9042
Epoch 0 | Batch 85/830 | Current Loss: 2.8363
Epoch 0 | Batch 90/830 | Current Loss: 2.9366
Epoch 0 | Batch 95/830 | Current Loss: 2.1786
Epoch 0 | Batch 100/830 | Current Loss: 2.2509
Epoch 0 | Batch 105/830 | Current Loss: 2.5210
Epoch 0 | Batch 110/830 | Current Loss: 1.1190
Epoch 0 | Batch 115/830 | Current Loss: 0.7142
Epoch 0 | Batch 120/830 | Current Loss: 2.7362
Epoch 0 | Batch 125/830 | Current Loss: 1.8878
Epoch 0 | Batch 130/830 | Current Loss: 2.5979
Epoch 0 | Batch 135/830 | Current Loss: 2.2901
Epoch 0 | Batch 140/830 | Current Loss: 2.3681
Epoch 0 | Batch 145/830 | Current Loss: 2.5452
Epoch 0 | Batch 150/830 | Current Loss: 1.7334
Epoch 0 | Batch 155/830 | Current Loss: 2.9412
Epoch 0 | Batch 160/830 | Current Loss: 2.8328
Epoch 0 | Batch 165/830 | Current Loss: 2.1978
Epoch 0 | Batch 170/830 | Current Loss: 2.5052
Epoch 0 | Batch 175/830 | Current Loss: 1.8335
Epoch 0 | Batch 180/830 | Current Loss: 2.0194
Epoch 0 | Batch 185/830 | Current Loss: 1.7274
Epoch 0 | Batch 190/830 | Current Loss: 2.0427
Epoch 0 | Batch 195/830 | Current Loss: 2.1901
Epoch 0 | Batch 200/830 | Current Loss: 2.8257
Epoch 0 | Batch 205/830 | Current Loss: 2.1298
Epoch 0 | Batch 210/830 | Current Loss: 2.1335
Epoch 0 | Batch 215/830 | Current Loss: 1.9276
Epoch 0 | Batch 220/830 | Current Loss: 2.3418
Epoch 0 | Batch 225/830 | Current Loss: 2.7010
Epoch 0 | Batch 230/830 | Current Loss: 3.2579
Epoch 0 | Batch 235/830 | Current Loss: 1.7361
Epoch 0 | Batch 240/830 | Current Loss: 2.3441
Epoch 0 | Batch 245/830 | Current Loss: 1.3232
Epoch 0 | Batch 250/830 | Current Loss: 1.9519
Epoch 0 | Batch 255/830 | Current Loss: 1.9285
Epoch 0 | Batch 260/830 | Current Loss: 2.9132
Epoch 0 | Batch 265/830 | Current Loss: 2.1318
Epoch 0 | Batch 270/830 | Current Loss: 2.7664
Epoch 0 | Batch 275/830 | Current Loss: 2.3812
Epoch 0 | Batch 280/830 | Current Loss: 2.1155
Epoch 0 | Batch 285/830 | Current Loss: 2.9578
Epoch 0 | Batch 290/830 | Current Loss: 2.2599
Epoch 0 | Batch 295/830 | Current Loss: 2.4926
Epoch 0 | Batch 300/830 | Current Loss: 2.1749
Epoch 0 | Batch 305/830 | Current Loss: 1.3415
Epoch 0 | Batch 310/830 | Current Loss: 1.8588
Epoch 0 | Batch 315/830 | Current Loss: 2.2833
Epoch 0 | Batch 320/830 | Current Loss: 3.7021
Epoch 0 | Batch 325/830 | Current Loss: 2.1324
Epoch 0 | Batch 330/830 | Current Loss: 2.9262
Epoch 0 | Batch 335/830 | Current Loss: 2.7348
Epoch 0 | Batch 340/830 | Current Loss: 1.9378
Epoch 0 | Batch 345/830 | Current Loss: 1.8387
Epoch 0 | Batch 350/830 | Current Loss: 2.9669
Epoch 0 | Batch 355/830 | Current Loss: 2.6863
Epoch 0 | Batch 360/830 | Current Loss: 2.1381
Epoch 0 | Batch 365/830 | Current Loss: 2.2415
Epoch 0 | Batch 370/830 | Current Loss: 1.9629
Epoch 0 | Batch 375/830 | Current Loss: 2.3353
Epoch 0 | Batch 380/830 | Current Loss: 1.4573
Epoch 0 | Batch 385/830 | Current Loss: 2.1530
Epoch 0 | Batch 390/830 | Current Loss: 3.1647
Epoch 0 | Batch 395/830 | Current Loss: 1.0464
Epoch 0 | Batch 400/830 | Current Loss: 2.3978
Epoch 0 | Batch 405/830 | Current Loss: 3.7148
Epoch 0 | Batch 410/830 | Current Loss: 1.9787
Epoch 0 | Batch 415/830 | Current Loss: 2.6828
Epoch 0 | Batch 420/830 | Current Loss: 2.3975
Epoch 0 | Batch 425/830 | Current Loss: 2.9744
Epoch 0 | Batch 430/830 | Current Loss: 2.0343
Epoch 0 | Batch 435/830 | Current Loss: 1.2738
Epoch 0 | Batch 440/830 | Current Loss: 0.9415
Epoch 0 | Batch 445/830 | Current Loss: 3.8123
Epoch 0 | Batch 450/830 | Current Loss: 2.1514
Epoch 0 | Batch 455/830 | Current Loss: 2.1029
Epoch 0 | Batch 460/830 | Current Loss: 2.5615
Epoch 0 | Batch 465/830 | Current Loss: 2.5948
Epoch 0 | Batch 470/830 | Current Loss: 3.0884
Epoch 0 | Batch 475/830 | Current Loss: 2.0456
Epoch 0 | Batch 480/830 | Current Loss: 1.9958
Epoch 0 | Batch 485/830 | Current Loss: 2.1509
Epoch 0 | Batch 490/830 | Current Loss: 0.7845
Epoch 0 | Batch 495/830 | Current Loss: 2.9993
Epoch 0 | Batch 500/830 | Current Loss: 2.3462
Epoch 0 | Batch 505/830 | Current Loss: 1.5990
Epoch 0 | Batch 510/830 | Current Loss: 2.0421
Epoch 0 | Batch 515/830 | Current Loss: 1.9800
Epoch 0 | Batch 520/830 | Current Loss: 1.6260
Epoch 0 | Batch 525/830 | Current Loss: 3.1810
Epoch 0 | Batch 530/830 | Current Loss: 2.7154
Epoch 0 | Batch 535/830 | Current Loss: 2.6774
