
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.4884
Epoch 0 | Batch 5/830 | Current Loss: 3.4443
Epoch 0 | Batch 10/830 | Current Loss: 0.8303
Epoch 0 | Batch 15/830 | Current Loss: 2.8627
Epoch 0 | Batch 20/830 | Current Loss: 1.1716
Epoch 0 | Batch 25/830 | Current Loss: 0.5963
Epoch 0 | Batch 30/830 | Current Loss: 2.2717
Epoch 0 | Batch 35/830 | Current Loss: 1.2228
Epoch 0 | Batch 40/830 | Current Loss: 2.2546
Epoch 0 | Batch 45/830 | Current Loss: 1.5029
Epoch 0 | Batch 50/830 | Current Loss: 1.6695
Epoch 0 | Batch 55/830 | Current Loss: 2.1531
Epoch 0 | Batch 60/830 | Current Loss: 2.7516
Epoch 0 | Batch 65/830 | Current Loss: 1.2176
Epoch 0 | Batch 70/830 | Current Loss: 1.4831
Epoch 0 | Batch 75/830 | Current Loss: 1.0167
Epoch 0 | Batch 80/830 | Current Loss: 2.5623
Epoch 0 | Batch 85/830 | Current Loss: 1.2543
Epoch 0 | Batch 90/830 | Current Loss: 2.1099
Epoch 0 | Batch 95/830 | Current Loss: 1.1460
Epoch 0 | Batch 100/830 | Current Loss: 2.1490
Epoch 0 | Batch 105/830 | Current Loss: 0.8580
Epoch 0 | Batch 110/830 | Current Loss: 2.3910
Epoch 0 | Batch 115/830 | Current Loss: 4.0835
Epoch 0 | Batch 120/830 | Current Loss: 2.7752
Epoch 0 | Batch 125/830 | Current Loss: 0.8868
Epoch 0 | Batch 130/830 | Current Loss: 2.2726
Epoch 0 | Batch 135/830 | Current Loss: 1.7442
Epoch 0 | Batch 140/830 | Current Loss: 1.8446
Epoch 0 | Batch 145/830 | Current Loss: 0.5370
Epoch 0 | Batch 150/830 | Current Loss: 1.0158
Epoch 0 | Batch 155/830 | Current Loss: 1.6795
Epoch 0 | Batch 160/830 | Current Loss: 1.8195
Epoch 0 | Batch 165/830 | Current Loss: 1.1169
Epoch 0 | Batch 170/830 | Current Loss: 2.4945
Epoch 0 | Batch 175/830 | Current Loss: 1.8606
Epoch 0 | Batch 180/830 | Current Loss: 1.9452
Epoch 0 | Batch 185/830 | Current Loss: 0.9850
Epoch 0 | Batch 190/830 | Current Loss: 1.4628
Epoch 0 | Batch 195/830 | Current Loss: 0.6393
Epoch 0 | Batch 200/830 | Current Loss: 1.9279
Epoch 0 | Batch 205/830 | Current Loss: 2.4466
Epoch 0 | Batch 210/830 | Current Loss: 0.4846
Epoch 0 | Batch 215/830 | Current Loss: 1.9377
Epoch 0 | Batch 220/830 | Current Loss: 2.5914
Epoch 0 | Batch 225/830 | Current Loss: 3.5340
Epoch 0 | Batch 230/830 | Current Loss: 1.6384
Epoch 0 | Batch 235/830 | Current Loss: 2.0278
Epoch 0 | Batch 240/830 | Current Loss: 2.1819
Epoch 0 | Batch 245/830 | Current Loss: 2.5903
Epoch 0 | Batch 250/830 | Current Loss: 2.0739
Epoch 0 | Batch 255/830 | Current Loss: 0.7798
Epoch 0 | Batch 260/830 | Current Loss: 1.0599
Epoch 0 | Batch 265/830 | Current Loss: 0.4498
Epoch 0 | Batch 270/830 | Current Loss: 0.8395
Epoch 0 | Batch 275/830 | Current Loss: 2.3167
Epoch 0 | Batch 280/830 | Current Loss: 0.6920
Epoch 0 | Batch 285/830 | Current Loss: 1.2241
Epoch 0 | Batch 290/830 | Current Loss: 2.2891
Epoch 0 | Batch 295/830 | Current Loss: 2.4240
Epoch 0 | Batch 300/830 | Current Loss: 1.8063
Epoch 0 | Batch 305/830 | Current Loss: 1.8260
Epoch 0 | Batch 310/830 | Current Loss: 0.7993
Epoch 0 | Batch 315/830 | Current Loss: 1.4483
Epoch 0 | Batch 320/830 | Current Loss: 1.2311
Epoch 0 | Batch 325/830 | Current Loss: 1.3951
Epoch 0 | Batch 330/830 | Current Loss: 0.9720
Epoch 0 | Batch 335/830 | Current Loss: 2.9764
Epoch 0 | Batch 340/830 | Current Loss: 2.8632
Epoch 0 | Batch 345/830 | Current Loss: 1.3190
Epoch 0 | Batch 350/830 | Current Loss: 1.1773
Epoch 0 | Batch 355/830 | Current Loss: 1.4873
Epoch 0 | Batch 360/830 | Current Loss: 1.3373
Epoch 0 | Batch 365/830 | Current Loss: 0.9872
Epoch 0 | Batch 370/830 | Current Loss: 2.1595
Epoch 0 | Batch 375/830 | Current Loss: 1.0962
Epoch 0 | Batch 380/830 | Current Loss: 1.4661
Epoch 0 | Batch 385/830 | Current Loss: 2.7114
Epoch 0 | Batch 390/830 | Current Loss: 2.1936
Epoch 0 | Batch 395/830 | Current Loss: 2.1296
Epoch 0 | Batch 400/830 | Current Loss: 2.7890
Epoch 0 | Batch 405/830 | Current Loss: 1.9978
Epoch 0 | Batch 410/830 | Current Loss: 1.0305
Epoch 0 | Batch 415/830 | Current Loss: 0.9609
Epoch 0 | Batch 420/830 | Current Loss: 2.9670
Epoch 0 | Batch 425/830 | Current Loss: 0.8807
Epoch 0 | Batch 430/830 | Current Loss: 1.2222
Epoch 0 | Batch 435/830 | Current Loss: 1.5073
Epoch 0 | Batch 440/830 | Current Loss: 2.0873
Epoch 0 | Batch 445/830 | Current Loss: 1.6262
Epoch 0 | Batch 450/830 | Current Loss: 2.1938
Epoch 0 | Batch 455/830 | Current Loss: 3.6164
Epoch 0 | Batch 460/830 | Current Loss: 1.5697
Epoch 0 | Batch 465/830 | Current Loss: 1.7296
Epoch 0 | Batch 470/830 | Current Loss: 1.6910
Epoch 0 | Batch 475/830 | Current Loss: 1.3198
Epoch 0 | Batch 480/830 | Current Loss: 1.9897
Epoch 0 | Batch 485/830 | Current Loss: 2.9167
Epoch 0 | Batch 490/830 | Current Loss: 1.6823
Epoch 0 | Batch 495/830 | Current Loss: 3.3448
