
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 3.0200
Epoch 0 | Batch 5/830 | Current Loss: 2.7794
Epoch 0 | Batch 10/830 | Current Loss: 2.7983
Epoch 0 | Batch 15/830 | Current Loss: 2.6223
Epoch 0 | Batch 20/830 | Current Loss: 2.6358
Epoch 0 | Batch 25/830 | Current Loss: 2.5561
Epoch 0 | Batch 30/830 | Current Loss: 2.6341
Epoch 0 | Batch 35/830 | Current Loss: 2.2600
Epoch 0 | Batch 40/830 | Current Loss: 2.0943
Epoch 0 | Batch 45/830 | Current Loss: 2.0657
Epoch 0 | Batch 50/830 | Current Loss: 2.0771
Epoch 0 | Batch 55/830 | Current Loss: 2.1717
Epoch 0 | Batch 60/830 | Current Loss: 2.1489
Epoch 0 | Batch 65/830 | Current Loss: 2.5913
Epoch 0 | Batch 70/830 | Current Loss: 2.3385
Epoch 0 | Batch 75/830 | Current Loss: 2.7079
Epoch 0 | Batch 80/830 | Current Loss: 2.0368
Epoch 0 | Batch 85/830 | Current Loss: 2.1446
Epoch 0 | Batch 90/830 | Current Loss: 2.7512
Epoch 0 | Batch 95/830 | Current Loss: 2.5710
Epoch 0 | Batch 100/830 | Current Loss: 3.2527
Epoch 0 | Batch 105/830 | Current Loss: 2.3703
Epoch 0 | Batch 110/830 | Current Loss: 1.8627
Epoch 0 | Batch 115/830 | Current Loss: 2.5242
Epoch 0 | Batch 120/830 | Current Loss: 1.9865
Epoch 0 | Batch 125/830 | Current Loss: 1.4670
Epoch 0 | Batch 130/830 | Current Loss: 2.1994
Epoch 0 | Batch 135/830 | Current Loss: 2.2701
Epoch 0 | Batch 140/830 | Current Loss: 2.1913
Epoch 0 | Batch 145/830 | Current Loss: 2.3598
Epoch 0 | Batch 150/830 | Current Loss: 2.2874
Epoch 0 | Batch 155/830 | Current Loss: 2.0822
Epoch 0 | Batch 160/830 | Current Loss: 1.9085
Epoch 0 | Batch 165/830 | Current Loss: 1.9486
Epoch 0 | Batch 170/830 | Current Loss: 1.7961
Epoch 0 | Batch 175/830 | Current Loss: 1.5557
Epoch 0 | Batch 180/830 | Current Loss: 3.1858
Epoch 0 | Batch 185/830 | Current Loss: 2.2254
Epoch 0 | Batch 190/830 | Current Loss: 3.0107
Epoch 0 | Batch 195/830 | Current Loss: 3.0936
Epoch 0 | Batch 200/830 | Current Loss: 2.0407
Epoch 0 | Batch 205/830 | Current Loss: 2.2357
Epoch 0 | Batch 210/830 | Current Loss: 1.9473
Epoch 0 | Batch 215/830 | Current Loss: 1.8591
Epoch 0 | Batch 220/830 | Current Loss: 2.6478
Epoch 0 | Batch 225/830 | Current Loss: 2.2197
Epoch 0 | Batch 230/830 | Current Loss: 2.2729
Epoch 0 | Batch 235/830 | Current Loss: 1.6831
Epoch 0 | Batch 240/830 | Current Loss: 1.6966
Epoch 0 | Batch 245/830 | Current Loss: 2.5963
Epoch 0 | Batch 250/830 | Current Loss: 1.8735
Epoch 0 | Batch 255/830 | Current Loss: 2.1983
Epoch 0 | Batch 260/830 | Current Loss: 1.1950
Epoch 0 | Batch 265/830 | Current Loss: 2.3732
Epoch 0 | Batch 270/830 | Current Loss: 1.7928
Epoch 0 | Batch 275/830 | Current Loss: 2.2973
Epoch 0 | Batch 280/830 | Current Loss: 2.0070
Epoch 0 | Batch 285/830 | Current Loss: 2.2508
Epoch 0 | Batch 290/830 | Current Loss: 2.6089
Epoch 0 | Batch 295/830 | Current Loss: 1.8106
Epoch 0 | Batch 300/830 | Current Loss: 2.9351
Epoch 0 | Batch 305/830 | Current Loss: 2.0807
Epoch 0 | Batch 310/830 | Current Loss: 1.8411
Epoch 0 | Batch 315/830 | Current Loss: 2.3287
Epoch 0 | Batch 320/830 | Current Loss: 1.6124
Epoch 0 | Batch 325/830 | Current Loss: 1.8155
Epoch 0 | Batch 330/830 | Current Loss: 2.0224
Epoch 0 | Batch 335/830 | Current Loss: 2.1082
Epoch 0 | Batch 340/830 | Current Loss: 1.5369
