
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.5128
Epoch 0 | Batch 5/830 | Current Loss: 2.1009
Epoch 0 | Batch 10/830 | Current Loss: 2.0969
Epoch 0 | Batch 15/830 | Current Loss: 2.2994
Epoch 0 | Batch 20/830 | Current Loss: 2.6001
Epoch 0 | Batch 25/830 | Current Loss: 2.2381
Epoch 0 | Batch 30/830 | Current Loss: 1.6191
Epoch 0 | Batch 35/830 | Current Loss: 1.1352
Epoch 0 | Batch 40/830 | Current Loss: 1.9495
Epoch 0 | Batch 45/830 | Current Loss: 1.8327
Epoch 0 | Batch 50/830 | Current Loss: 1.7116
Epoch 0 | Batch 55/830 | Current Loss: 2.6719
Epoch 0 | Batch 60/830 | Current Loss: 1.3412
Epoch 0 | Batch 65/830 | Current Loss: 1.9166
Epoch 0 | Batch 70/830 | Current Loss: 1.4223
Epoch 0 | Batch 75/830 | Current Loss: 1.5748
Epoch 0 | Batch 80/830 | Current Loss: 2.3119
Epoch 0 | Batch 85/830 | Current Loss: 1.8207
Epoch 0 | Batch 90/830 | Current Loss: 1.7882
Epoch 0 | Batch 95/830 | Current Loss: 2.3238
Epoch 0 | Batch 100/830 | Current Loss: 1.4323
Epoch 0 | Batch 105/830 | Current Loss: 0.9861
Epoch 0 | Batch 110/830 | Current Loss: 1.7534
Epoch 0 | Batch 115/830 | Current Loss: 1.7283
Epoch 0 | Batch 120/830 | Current Loss: 1.5251
Epoch 0 | Batch 125/830 | Current Loss: 1.3339
Epoch 0 | Batch 130/830 | Current Loss: 2.8049
Epoch 0 | Batch 135/830 | Current Loss: 1.1406
Epoch 0 | Batch 140/830 | Current Loss: 2.4032
Epoch 0 | Batch 145/830 | Current Loss: 2.0840
Epoch 0 | Batch 150/830 | Current Loss: 1.5252
Epoch 0 | Batch 155/830 | Current Loss: 2.1957
Epoch 0 | Batch 160/830 | Current Loss: 1.4064
Epoch 0 | Batch 165/830 | Current Loss: 1.3591
Epoch 0 | Batch 170/830 | Current Loss: 1.4895
Epoch 0 | Batch 175/830 | Current Loss: 1.7635
Epoch 0 | Batch 180/830 | Current Loss: 1.2925
Epoch 0 | Batch 185/830 | Current Loss: 0.7379
Epoch 0 | Batch 190/830 | Current Loss: 1.6579
Epoch 0 | Batch 195/830 | Current Loss: 1.6657
