
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 3.0509
Epoch 0 | Batch 5/830 | Current Loss: 3.5548
Epoch 0 | Batch 10/830 | Current Loss: 4.1814
Epoch 0 | Batch 15/830 | Current Loss: 1.6988
Epoch 0 | Batch 20/830 | Current Loss: 2.9251
Epoch 0 | Batch 25/830 | Current Loss: 2.1060
Epoch 0 | Batch 30/830 | Current Loss: 3.0109
Epoch 0 | Batch 35/830 | Current Loss: 1.8578
Epoch 0 | Batch 40/830 | Current Loss: 1.9681
Epoch 0 | Batch 45/830 | Current Loss: 2.5263
Epoch 0 | Batch 50/830 | Current Loss: 3.1914
Epoch 0 | Batch 55/830 | Current Loss: 2.7279
Epoch 0 | Batch 60/830 | Current Loss: 1.8930
Epoch 0 | Batch 65/830 | Current Loss: 2.3250
Epoch 0 | Batch 70/830 | Current Loss: 2.1948
Epoch 0 | Batch 75/830 | Current Loss: 2.6143
Epoch 0 | Batch 80/830 | Current Loss: 1.7943
Epoch 0 | Batch 85/830 | Current Loss: 2.7790
Epoch 0 | Batch 90/830 | Current Loss: 2.0659
Epoch 0 | Batch 95/830 | Current Loss: 1.1496
Epoch 0 | Batch 100/830 | Current Loss: 3.2346
Epoch 0 | Batch 105/830 | Current Loss: 1.6369
Epoch 0 | Batch 110/830 | Current Loss: 2.0570
Epoch 0 | Batch 115/830 | Current Loss: 2.1476
Epoch 0 | Batch 120/830 | Current Loss: 1.5985
Epoch 0 | Batch 125/830 | Current Loss: 3.4498
Epoch 0 | Batch 130/830 | Current Loss: 4.5964
Epoch 0 | Batch 135/830 | Current Loss: 2.8407
Epoch 0 | Batch 140/830 | Current Loss: 1.6868
Epoch 0 | Batch 145/830 | Current Loss: 2.4977
Epoch 0 | Batch 150/830 | Current Loss: 1.3679
Epoch 0 | Batch 155/830 | Current Loss: 1.8670
Epoch 0 | Batch 160/830 | Current Loss: 3.1740
Epoch 0 | Batch 165/830 | Current Loss: 2.6910
Epoch 0 | Batch 170/830 | Current Loss: 2.3820
Epoch 0 | Batch 175/830 | Current Loss: 2.1250
Epoch 0 | Batch 180/830 | Current Loss: 2.5061
Epoch 0 | Batch 185/830 | Current Loss: 2.0174
Epoch 0 | Batch 190/830 | Current Loss: 2.5166
Epoch 0 | Batch 195/830 | Current Loss: 2.0562
Epoch 0 | Batch 200/830 | Current Loss: 2.1086
Epoch 0 | Batch 205/830 | Current Loss: 1.6866
Epoch 0 | Batch 210/830 | Current Loss: 1.2628
Epoch 0 | Batch 215/830 | Current Loss: 3.1251
Epoch 0 | Batch 220/830 | Current Loss: 1.2597
Epoch 0 | Batch 225/830 | Current Loss: 3.2678
Epoch 0 | Batch 230/830 | Current Loss: 2.5869
Epoch 0 | Batch 235/830 | Current Loss: 1.7062
Epoch 0 | Batch 240/830 | Current Loss: 2.8986
Epoch 0 | Batch 245/830 | Current Loss: 1.6938
Epoch 0 | Batch 250/830 | Current Loss: 2.5437
Epoch 0 | Batch 255/830 | Current Loss: 2.5685
Epoch 0 | Batch 260/830 | Current Loss: 1.9933
Epoch 0 | Batch 265/830 | Current Loss: 1.8936
Epoch 0 | Batch 270/830 | Current Loss: 1.6693
Epoch 0 | Batch 275/830 | Current Loss: 1.7812
Epoch 0 | Batch 280/830 | Current Loss: 1.7044
Epoch 0 | Batch 285/830 | Current Loss: 1.9660
Epoch 0 | Batch 290/830 | Current Loss: 1.5608
Epoch 0 | Batch 295/830 | Current Loss: 2.8026
Epoch 0 | Batch 300/830 | Current Loss: 2.1860
Epoch 0 | Batch 305/830 | Current Loss: 1.1530
Epoch 0 | Batch 310/830 | Current Loss: 2.4415
Epoch 0 | Batch 315/830 | Current Loss: 2.5813
Epoch 0 | Batch 320/830 | Current Loss: 3.0589
Epoch 0 | Batch 325/830 | Current Loss: 2.4705
Epoch 0 | Batch 330/830 | Current Loss: 1.9968
Epoch 0 | Batch 335/830 | Current Loss: 2.9421
Epoch 0 | Batch 340/830 | Current Loss: 1.1278
Epoch 0 | Batch 345/830 | Current Loss: 2.3592
Epoch 0 | Batch 350/830 | Current Loss: 2.3237
Epoch 0 | Batch 355/830 | Current Loss: 3.3224
Epoch 0 | Batch 360/830 | Current Loss: 2.2842
Epoch 0 | Batch 365/830 | Current Loss: 2.1960
Epoch 0 | Batch 370/830 | Current Loss: 1.6372
Epoch 0 | Batch 375/830 | Current Loss: 2.1554
Epoch 0 | Batch 380/830 | Current Loss: 3.8261
Epoch 0 | Batch 385/830 | Current Loss: 2.4072
Epoch 0 | Batch 390/830 | Current Loss: 2.9370
Epoch 0 | Batch 395/830 | Current Loss: 2.6873
Epoch 0 | Batch 400/830 | Current Loss: 2.9860
Epoch 0 | Batch 405/830 | Current Loss: 1.7926
Epoch 0 | Batch 410/830 | Current Loss: 2.2721
Epoch 0 | Batch 415/830 | Current Loss: 1.5738
Epoch 0 | Batch 420/830 | Current Loss: 3.0752
Epoch 0 | Batch 425/830 | Current Loss: 1.5066
Epoch 0 | Batch 430/830 | Current Loss: 1.9979
Epoch 0 | Batch 435/830 | Current Loss: 2.1035
Epoch 0 | Batch 440/830 | Current Loss: 1.9984
Epoch 0 | Batch 445/830 | Current Loss: 1.1591
Epoch 0 | Batch 450/830 | Current Loss: 2.3272
Epoch 0 | Batch 455/830 | Current Loss: 1.9060
Epoch 0 | Batch 460/830 | Current Loss: 2.0945
Epoch 0 | Batch 465/830 | Current Loss: 2.2797
Epoch 0 | Batch 470/830 | Current Loss: 3.2992
Epoch 0 | Batch 475/830 | Current Loss: 2.0471
Epoch 0 | Batch 480/830 | Current Loss: 2.9267
Epoch 0 | Batch 485/830 | Current Loss: 2.5401
Epoch 0 | Batch 490/830 | Current Loss: 1.4771
Epoch 0 | Batch 495/830 | Current Loss: 1.5990
Epoch 0 | Batch 500/830 | Current Loss: 1.2758
Epoch 0 | Batch 505/830 | Current Loss: 2.9302
Epoch 0 | Batch 510/830 | Current Loss: 2.5241
Epoch 0 | Batch 515/830 | Current Loss: 2.5663
Epoch 0 | Batch 520/830 | Current Loss: 3.2462
Epoch 0 | Batch 525/830 | Current Loss: 2.3253
Epoch 0 | Batch 530/830 | Current Loss: 2.2746
Epoch 0 | Batch 535/830 | Current Loss: 1.5029
Epoch 0 | Batch 540/830 | Current Loss: 3.7836
Epoch 0 | Batch 545/830 | Current Loss: 2.3358
Epoch 0 | Batch 550/830 | Current Loss: 2.7705
Epoch 0 | Batch 555/830 | Current Loss: 2.4671
Epoch 0 | Batch 560/830 | Current Loss: 2.5343
Epoch 0 | Batch 565/830 | Current Loss: 1.8602
Epoch 0 | Batch 570/830 | Current Loss: 2.5277
Epoch 0 | Batch 575/830 | Current Loss: 2.7465
Epoch 0 | Batch 580/830 | Current Loss: 1.7867
Epoch 0 | Batch 585/830 | Current Loss: 1.2214
Epoch 0 | Batch 590/830 | Current Loss: 2.1638
