
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.7383
Epoch 0 | Batch 5/830 | Current Loss: 2.1890
Epoch 0 | Batch 10/830 | Current Loss: 1.9007
Epoch 0 | Batch 15/830 | Current Loss: 2.0977
Epoch 0 | Batch 20/830 | Current Loss: 4.3243
Epoch 0 | Batch 25/830 | Current Loss: 1.9352
Epoch 0 | Batch 30/830 | Current Loss: 1.5859
Epoch 0 | Batch 35/830 | Current Loss: 2.3045
Epoch 0 | Batch 40/830 | Current Loss: 1.1522
Epoch 0 | Batch 45/830 | Current Loss: 2.0400
Epoch 0 | Batch 50/830 | Current Loss: 1.9253
Epoch 0 | Batch 55/830 | Current Loss: 1.9654
Epoch 0 | Batch 60/830 | Current Loss: 1.5513
Epoch 0 | Batch 65/830 | Current Loss: 2.0848
Epoch 0 | Batch 70/830 | Current Loss: 1.5406
Epoch 0 | Batch 75/830 | Current Loss: 2.0928
Epoch 0 | Batch 80/830 | Current Loss: 1.6703
Epoch 0 | Batch 85/830 | Current Loss: 3.4641
Epoch 0 | Batch 90/830 | Current Loss: 1.1848
Epoch 0 | Batch 95/830 | Current Loss: 1.4541
Epoch 0 | Batch 100/830 | Current Loss: 1.4161
Epoch 0 | Batch 105/830 | Current Loss: 2.5417
Epoch 0 | Batch 110/830 | Current Loss: 1.7302
Epoch 0 | Batch 115/830 | Current Loss: 1.6012
Epoch 0 | Batch 120/830 | Current Loss: 1.3134
Epoch 0 | Batch 125/830 | Current Loss: 1.9700
Epoch 0 | Batch 130/830 | Current Loss: 2.0966
Epoch 0 | Batch 135/830 | Current Loss: 2.2622
Epoch 0 | Batch 140/830 | Current Loss: 2.4240
Epoch 0 | Batch 145/830 | Current Loss: 1.3459
Epoch 0 | Batch 150/830 | Current Loss: 1.2469
Epoch 0 | Batch 155/830 | Current Loss: 1.3473
Epoch 0 | Batch 160/830 | Current Loss: 1.8549
Epoch 0 | Batch 165/830 | Current Loss: 2.1348
Epoch 0 | Batch 170/830 | Current Loss: 1.6448
Epoch 0 | Batch 175/830 | Current Loss: 1.2162
Epoch 0 | Batch 180/830 | Current Loss: 1.7840
Epoch 0 | Batch 185/830 | Current Loss: 1.6971
Epoch 0 | Batch 190/830 | Current Loss: 2.2060
Epoch 0 | Batch 195/830 | Current Loss: 1.8211
Epoch 0 | Batch 200/830 | Current Loss: 2.3045
Epoch 0 | Batch 205/830 | Current Loss: 1.4510
Epoch 0 | Batch 210/830 | Current Loss: 1.8607
Epoch 0 | Batch 215/830 | Current Loss: 1.6159
Epoch 0 | Batch 220/830 | Current Loss: 1.8941
Epoch 0 | Batch 225/830 | Current Loss: 2.3780
Epoch 0 | Batch 230/830 | Current Loss: 1.1420
Epoch 0 | Batch 235/830 | Current Loss: 0.8615
Epoch 0 | Batch 240/830 | Current Loss: 1.4525
Epoch 0 | Batch 245/830 | Current Loss: 2.3670
Epoch 0 | Batch 250/830 | Current Loss: 1.7000
Epoch 0 | Batch 255/830 | Current Loss: 1.0323
Epoch 0 | Batch 260/830 | Current Loss: 2.2769
Epoch 0 | Batch 265/830 | Current Loss: 2.5301
Epoch 0 | Batch 270/830 | Current Loss: 1.5040
Epoch 0 | Batch 275/830 | Current Loss: 1.5285
Epoch 0 | Batch 280/830 | Current Loss: 1.3441
Epoch 0 | Batch 285/830 | Current Loss: 2.5301
Epoch 0 | Batch 290/830 | Current Loss: 2.3743
Epoch 0 | Batch 295/830 | Current Loss: 1.2520
Epoch 0 | Batch 300/830 | Current Loss: 2.1732
Epoch 0 | Batch 305/830 | Current Loss: 2.5962
Epoch 0 | Batch 310/830 | Current Loss: 2.1179
Epoch 0 | Batch 315/830 | Current Loss: 2.1036
Epoch 0 | Batch 320/830 | Current Loss: 2.6240
Epoch 0 | Batch 325/830 | Current Loss: 3.0324
Epoch 0 | Batch 330/830 | Current Loss: 2.1073
Epoch 0 | Batch 335/830 | Current Loss: 1.0134
Epoch 0 | Batch 340/830 | Current Loss: 2.0606
Epoch 0 | Batch 345/830 | Current Loss: 2.0208
Epoch 0 | Batch 350/830 | Current Loss: 1.6855
Epoch 0 | Batch 355/830 | Current Loss: 1.6559
Epoch 0 | Batch 360/830 | Current Loss: 1.0278
Epoch 0 | Batch 365/830 | Current Loss: 1.9370
Epoch 0 | Batch 370/830 | Current Loss: 1.9155
Epoch 0 | Batch 375/830 | Current Loss: 2.5477
Epoch 0 | Batch 380/830 | Current Loss: 3.1370
Epoch 0 | Batch 385/830 | Current Loss: 1.9131
Epoch 0 | Batch 390/830 | Current Loss: 2.2170
Epoch 0 | Batch 395/830 | Current Loss: 1.8555
Epoch 0 | Batch 400/830 | Current Loss: 2.0680
Epoch 0 | Batch 405/830 | Current Loss: 1.1446
Epoch 0 | Batch 410/830 | Current Loss: 3.1612
Epoch 0 | Batch 415/830 | Current Loss: 3.3555
Epoch 0 | Batch 420/830 | Current Loss: 1.2964
Epoch 0 | Batch 425/830 | Current Loss: 2.2563
Epoch 0 | Batch 430/830 | Current Loss: 1.8381
Epoch 0 | Batch 435/830 | Current Loss: 1.1677
Epoch 0 | Batch 440/830 | Current Loss: 1.3352
Epoch 0 | Batch 445/830 | Current Loss: 1.9425
Epoch 0 | Batch 450/830 | Current Loss: 2.1741
Epoch 0 | Batch 455/830 | Current Loss: 2.5975
Epoch 0 | Batch 460/830 | Current Loss: 2.2271
Epoch 0 | Batch 465/830 | Current Loss: 2.5248
Epoch 0 | Batch 470/830 | Current Loss: 1.9921
Epoch 0 | Batch 475/830 | Current Loss: 2.4284
Epoch 0 | Batch 480/830 | Current Loss: 1.2354
Epoch 0 | Batch 485/830 | Current Loss: 2.6069
Epoch 0 | Batch 490/830 | Current Loss: 1.8360
Epoch 0 | Batch 495/830 | Current Loss: 1.9766
Epoch 0 | Batch 500/830 | Current Loss: 1.5204
Epoch 0 | Batch 505/830 | Current Loss: 2.7949
Epoch 0 | Batch 510/830 | Current Loss: 2.5374
Epoch 0 | Batch 515/830 | Current Loss: 1.0349
Epoch 0 | Batch 520/830 | Current Loss: 1.7709
Epoch 0 | Batch 525/830 | Current Loss: 1.6534
Epoch 0 | Batch 530/830 | Current Loss: 2.5309
Epoch 0 | Batch 535/830 | Current Loss: 1.7240
Epoch 0 | Batch 540/830 | Current Loss: 1.2948
Epoch 0 | Batch 545/830 | Current Loss: 2.0089
Epoch 0 | Batch 550/830 | Current Loss: 1.7626
Epoch 0 | Batch 555/830 | Current Loss: 1.0011
Epoch 0 | Batch 560/830 | Current Loss: 3.2186
Epoch 0 | Batch 565/830 | Current Loss: 1.1801
Epoch 0 | Batch 570/830 | Current Loss: 1.8502
Epoch 0 | Batch 575/830 | Current Loss: 1.2149
Epoch 0 | Batch 580/830 | Current Loss: 2.4961
Epoch 0 | Batch 585/830 | Current Loss: 3.7791
Epoch 0 | Batch 590/830 | Current Loss: 3.0893
Epoch 0 | Batch 595/830 | Current Loss: 2.1049
Epoch 0 | Batch 600/830 | Current Loss: 2.6111
Epoch 0 | Batch 605/830 | Current Loss: 2.2188
Epoch 0 | Batch 610/830 | Current Loss: 2.6334
Epoch 0 | Batch 615/830 | Current Loss: 1.1121
Epoch 0 | Batch 620/830 | Current Loss: 1.6881
Epoch 0 | Batch 625/830 | Current Loss: 2.0553
Epoch 0 | Batch 630/830 | Current Loss: 1.8916
Epoch 0 | Batch 635/830 | Current Loss: 0.9330
Epoch 0 | Batch 640/830 | Current Loss: 1.9227
Epoch 0 | Batch 645/830 | Current Loss: 2.0465
Epoch 0 | Batch 650/830 | Current Loss: 1.2871
Epoch 0 | Batch 655/830 | Current Loss: 1.2835
Epoch 0 | Batch 660/830 | Current Loss: 2.6663
Epoch 0 | Batch 665/830 | Current Loss: 2.3765
Epoch 0 | Batch 670/830 | Current Loss: 1.4486
Epoch 0 | Batch 675/830 | Current Loss: 3.2843
Epoch 0 | Batch 680/830 | Current Loss: 1.8937
Epoch 0 | Batch 685/830 | Current Loss: 1.2630
Epoch 0 | Batch 690/830 | Current Loss: 2.4709
Epoch 0 | Batch 695/830 | Current Loss: 2.9342
Epoch 0 | Batch 700/830 | Current Loss: 2.3528
Epoch 0 | Batch 705/830 | Current Loss: 1.7141
Epoch 0 | Batch 710/830 | Current Loss: 1.0334
Epoch 0 | Batch 715/830 | Current Loss: 1.6950
Epoch 0 | Batch 720/830 | Current Loss: 1.9138
Epoch 0 | Batch 725/830 | Current Loss: 1.7024
Epoch 0 | Batch 730/830 | Current Loss: 2.3286
Epoch 0 | Batch 735/830 | Current Loss: 2.8122
Epoch 0 | Batch 740/830 | Current Loss: 2.4627
Epoch 0 | Batch 745/830 | Current Loss: 1.5258
Epoch 0 | Batch 750/830 | Current Loss: 1.4916
Epoch 0 | Batch 755/830 | Current Loss: 2.7404
Epoch 0 | Batch 760/830 | Current Loss: 2.9311
Epoch 0 | Batch 765/830 | Current Loss: 2.1383
Epoch 0 | Batch 770/830 | Current Loss: 1.6326
Epoch 0 | Batch 775/830 | Current Loss: 1.4896
Epoch 0 | Batch 780/830 | Current Loss: 1.7542
Epoch 0 | Batch 785/830 | Current Loss: 1.6002
Epoch 0 | Batch 790/830 | Current Loss: 3.0009
Epoch 0 | Batch 795/830 | Current Loss: 1.3276
Epoch 0 | Batch 800/830 | Current Loss: 1.4641
Epoch 0 | Batch 805/830 | Current Loss: 2.2157
Epoch 0 | Batch 810/830 | Current Loss: 1.3742
Epoch 0 | Batch 815/830 | Current Loss: 1.4644
Epoch 0 | Batch 820/830 | Current Loss: 0.8264
Epoch 0 | Batch 825/830 | Current Loss: 0.9189
--- Epoch 0 Complete | Avg Train Loss: 1.9127 | Val Loss: 2.0428 ---
Epoch 1 | Batch 0/830 | Current Loss: 1.9897
Epoch 1 | Batch 5/830 | Current Loss: 3.0350
Epoch 1 | Batch 10/830 | Current Loss: 2.6336
Epoch 1 | Batch 15/830 | Current Loss: 1.1709
Epoch 1 | Batch 20/830 | Current Loss: 1.9463
Epoch 1 | Batch 25/830 | Current Loss: 1.7315
Epoch 1 | Batch 30/830 | Current Loss: 1.0458
Epoch 1 | Batch 35/830 | Current Loss: 1.4176
Epoch 1 | Batch 40/830 | Current Loss: 1.1332
Epoch 1 | Batch 45/830 | Current Loss: 2.4473
Epoch 1 | Batch 50/830 | Current Loss: 1.2477
Epoch 1 | Batch 55/830 | Current Loss: 1.3378
Epoch 1 | Batch 60/830 | Current Loss: 1.7268
Epoch 1 | Batch 65/830 | Current Loss: 1.7677
Epoch 1 | Batch 70/830 | Current Loss: 3.7106
Epoch 1 | Batch 75/830 | Current Loss: 1.0006
Epoch 1 | Batch 80/830 | Current Loss: 2.8195
Epoch 1 | Batch 85/830 | Current Loss: 1.5169
Epoch 1 | Batch 90/830 | Current Loss: 1.8436
Epoch 1 | Batch 95/830 | Current Loss: 2.3047
Epoch 1 | Batch 100/830 | Current Loss: 1.8614
Epoch 1 | Batch 105/830 | Current Loss: 3.4540
Epoch 1 | Batch 110/830 | Current Loss: 2.3991
Epoch 1 | Batch 115/830 | Current Loss: 1.9756
Epoch 1 | Batch 120/830 | Current Loss: 2.3315
Epoch 1 | Batch 125/830 | Current Loss: 1.3365
Epoch 1 | Batch 130/830 | Current Loss: 2.5643
