
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.9489
Epoch 0 | Batch 5/830 | Current Loss: 2.8850
Epoch 0 | Batch 10/830 | Current Loss: 2.5471
Epoch 0 | Batch 15/830 | Current Loss: 2.5686
Epoch 0 | Batch 20/830 | Current Loss: 2.5832
Epoch 0 | Batch 25/830 | Current Loss: 2.4965
Epoch 0 | Batch 30/830 | Current Loss: 2.5722
Epoch 0 | Batch 35/830 | Current Loss: 2.3880
Epoch 0 | Batch 40/830 | Current Loss: 2.3795
Epoch 0 | Batch 45/830 | Current Loss: 2.0455
Epoch 0 | Batch 50/830 | Current Loss: 2.5579
Epoch 0 | Batch 55/830 | Current Loss: 1.6442
Epoch 0 | Batch 60/830 | Current Loss: 1.5210
Epoch 0 | Batch 65/830 | Current Loss: 2.7250
Epoch 0 | Batch 70/830 | Current Loss: 2.2238
Epoch 0 | Batch 75/830 | Current Loss: 2.1660
Epoch 0 | Batch 80/830 | Current Loss: 1.6786
Epoch 0 | Batch 85/830 | Current Loss: 1.8765
Epoch 0 | Batch 90/830 | Current Loss: 1.8090
Epoch 0 | Batch 95/830 | Current Loss: 2.2284
Epoch 0 | Batch 100/830 | Current Loss: 2.2501
Epoch 0 | Batch 105/830 | Current Loss: 2.4223
Epoch 0 | Batch 110/830 | Current Loss: 3.5959
Epoch 0 | Batch 115/830 | Current Loss: 1.7072
Epoch 0 | Batch 120/830 | Current Loss: 3.2321
Epoch 0 | Batch 125/830 | Current Loss: 3.0006
Epoch 0 | Batch 130/830 | Current Loss: 1.5863
Epoch 0 | Batch 135/830 | Current Loss: 1.5625
Epoch 0 | Batch 140/830 | Current Loss: 3.4674
Epoch 0 | Batch 145/830 | Current Loss: 1.9203
Epoch 0 | Batch 150/830 | Current Loss: 2.7955
Epoch 0 | Batch 155/830 | Current Loss: 2.0936
Epoch 0 | Batch 160/830 | Current Loss: 2.1954
