
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.4690
Epoch 0 | Batch 5/830 | Current Loss: 2.4099
Epoch 0 | Batch 10/830 | Current Loss: 2.5933
Epoch 0 | Batch 15/830 | Current Loss: 2.4030
Epoch 0 | Batch 20/830 | Current Loss: 2.2648
Epoch 0 | Batch 25/830 | Current Loss: 2.3036
Epoch 0 | Batch 30/830 | Current Loss: 2.1817
Epoch 0 | Batch 35/830 | Current Loss: 2.0400
Epoch 0 | Batch 40/830 | Current Loss: 2.4220
Epoch 0 | Batch 45/830 | Current Loss: 1.9506
Epoch 0 | Batch 50/830 | Current Loss: 2.0841
Epoch 0 | Batch 55/830 | Current Loss: 2.3505
Epoch 0 | Batch 60/830 | Current Loss: 2.4716
Epoch 0 | Batch 65/830 | Current Loss: 2.0510
Epoch 0 | Batch 70/830 | Current Loss: 1.4426
Epoch 0 | Batch 75/830 | Current Loss: 1.9563
Epoch 0 | Batch 80/830 | Current Loss: 1.8140
Epoch 0 | Batch 85/830 | Current Loss: 2.5483
Epoch 0 | Batch 90/830 | Current Loss: 1.6355
Epoch 0 | Batch 95/830 | Current Loss: 2.7559
Epoch 0 | Batch 100/830 | Current Loss: 1.6516
Epoch 0 | Batch 105/830 | Current Loss: 1.8204
Epoch 0 | Batch 110/830 | Current Loss: 1.3947
Epoch 0 | Batch 115/830 | Current Loss: 2.0015
Epoch 0 | Batch 120/830 | Current Loss: 2.3252
Epoch 0 | Batch 125/830 | Current Loss: 1.7317
Epoch 0 | Batch 130/830 | Current Loss: 1.2975
Epoch 0 | Batch 135/830 | Current Loss: 1.8759
Epoch 0 | Batch 140/830 | Current Loss: 1.8530
Epoch 0 | Batch 145/830 | Current Loss: 1.8520
Epoch 0 | Batch 150/830 | Current Loss: 1.7646
Epoch 0 | Batch 155/830 | Current Loss: 1.2704
Epoch 0 | Batch 160/830 | Current Loss: 1.5621
Epoch 0 | Batch 165/830 | Current Loss: 2.0262
Epoch 0 | Batch 170/830 | Current Loss: 0.7421
Epoch 0 | Batch 175/830 | Current Loss: 1.9398
Epoch 0 | Batch 180/830 | Current Loss: 1.6458
Epoch 0 | Batch 185/830 | Current Loss: 2.2073
Epoch 0 | Batch 190/830 | Current Loss: 1.4824
Epoch 0 | Batch 195/830 | Current Loss: 1.0770
Epoch 0 | Batch 200/830 | Current Loss: 1.8753
Epoch 0 | Batch 205/830 | Current Loss: 1.3286
Epoch 0 | Batch 210/830 | Current Loss: 2.2076
Epoch 0 | Batch 215/830 | Current Loss: 2.0285
Epoch 0 | Batch 220/830 | Current Loss: 1.1854
Epoch 0 | Batch 225/830 | Current Loss: 2.0676
Epoch 0 | Batch 230/830 | Current Loss: 2.5978
Epoch 0 | Batch 235/830 | Current Loss: 2.3358
Epoch 0 | Batch 240/830 | Current Loss: 1.9471
Epoch 0 | Batch 245/830 | Current Loss: 2.1808
Epoch 0 | Batch 250/830 | Current Loss: 2.3440
Epoch 0 | Batch 255/830 | Current Loss: 1.7816
Epoch 0 | Batch 260/830 | Current Loss: 1.7122
Epoch 0 | Batch 265/830 | Current Loss: 2.5995
Epoch 0 | Batch 270/830 | Current Loss: 1.8590
Epoch 0 | Batch 275/830 | Current Loss: 1.8129
Epoch 0 | Batch 280/830 | Current Loss: 1.2163
Epoch 0 | Batch 285/830 | Current Loss: 3.0335
Epoch 0 | Batch 290/830 | Current Loss: 1.9182
Epoch 0 | Batch 295/830 | Current Loss: 2.8967
Epoch 0 | Batch 300/830 | Current Loss: 2.2178
Epoch 0 | Batch 305/830 | Current Loss: 2.4765
Epoch 0 | Batch 310/830 | Current Loss: 1.8934
Epoch 0 | Batch 315/830 | Current Loss: 2.4152
Epoch 0 | Batch 320/830 | Current Loss: 1.0154
Epoch 0 | Batch 325/830 | Current Loss: 1.3903
Epoch 0 | Batch 330/830 | Current Loss: 1.1704
Epoch 0 | Batch 335/830 | Current Loss: 1.0961
Epoch 0 | Batch 340/830 | Current Loss: 1.8100
Epoch 0 | Batch 345/830 | Current Loss: 2.5120
Epoch 0 | Batch 350/830 | Current Loss: 1.8623
Epoch 0 | Batch 355/830 | Current Loss: 2.8915
Epoch 0 | Batch 360/830 | Current Loss: 1.9234
Epoch 0 | Batch 365/830 | Current Loss: 1.2684
Epoch 0 | Batch 370/830 | Current Loss: 1.4806
Epoch 0 | Batch 375/830 | Current Loss: 1.4322
Epoch 0 | Batch 380/830 | Current Loss: 1.5190
Epoch 0 | Batch 385/830 | Current Loss: 2.3174
Epoch 0 | Batch 390/830 | Current Loss: 1.5257
Epoch 0 | Batch 395/830 | Current Loss: 3.0879
Epoch 0 | Batch 400/830 | Current Loss: 1.6837
Epoch 0 | Batch 405/830 | Current Loss: 3.0082
Epoch 0 | Batch 410/830 | Current Loss: 2.1661
Epoch 0 | Batch 415/830 | Current Loss: 0.6981
Epoch 0 | Batch 420/830 | Current Loss: 0.9493
Epoch 0 | Batch 425/830 | Current Loss: 2.3571
Epoch 0 | Batch 430/830 | Current Loss: 2.1171
Epoch 0 | Batch 435/830 | Current Loss: 2.2248
Epoch 0 | Batch 440/830 | Current Loss: 3.0674
Epoch 0 | Batch 445/830 | Current Loss: 1.7957
Epoch 0 | Batch 450/830 | Current Loss: 1.7223
Epoch 0 | Batch 455/830 | Current Loss: 0.9360
Epoch 0 | Batch 460/830 | Current Loss: 1.7440
Epoch 0 | Batch 465/830 | Current Loss: 3.2294
Epoch 0 | Batch 470/830 | Current Loss: 1.3880
Epoch 0 | Batch 475/830 | Current Loss: 1.9522
Epoch 0 | Batch 480/830 | Current Loss: 1.3648
Epoch 0 | Batch 485/830 | Current Loss: 1.7954
Epoch 0 | Batch 490/830 | Current Loss: 2.2250
Epoch 0 | Batch 495/830 | Current Loss: 2.1211
Epoch 0 | Batch 500/830 | Current Loss: 1.9454
Epoch 0 | Batch 505/830 | Current Loss: 2.0409
Epoch 0 | Batch 510/830 | Current Loss: 2.2104
Epoch 0 | Batch 515/830 | Current Loss: 1.9511
Epoch 0 | Batch 520/830 | Current Loss: 2.0132
Epoch 0 | Batch 525/830 | Current Loss: 1.4404
Epoch 0 | Batch 530/830 | Current Loss: 0.9242
Epoch 0 | Batch 535/830 | Current Loss: 1.2252
Epoch 0 | Batch 540/830 | Current Loss: 2.0735
Epoch 0 | Batch 545/830 | Current Loss: 1.6570
Epoch 0 | Batch 550/830 | Current Loss: 2.2542
Epoch 0 | Batch 555/830 | Current Loss: 2.2027
Epoch 0 | Batch 560/830 | Current Loss: 1.5353
Epoch 0 | Batch 565/830 | Current Loss: 2.2922
Epoch 0 | Batch 570/830 | Current Loss: 1.5918
Epoch 0 | Batch 575/830 | Current Loss: 3.2354
Epoch 0 | Batch 580/830 | Current Loss: 1.7895
