
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.8425
Epoch 0 | Batch 5/830 | Current Loss: 3.2584
Epoch 0 | Batch 10/830 | Current Loss: 2.1972
Epoch 0 | Batch 15/830 | Current Loss: 2.4511
Epoch 0 | Batch 20/830 | Current Loss: 3.3044
Epoch 0 | Batch 25/830 | Current Loss: 2.0508
Epoch 0 | Batch 30/830 | Current Loss: 2.2928
Epoch 0 | Batch 35/830 | Current Loss: 1.7713
Epoch 0 | Batch 40/830 | Current Loss: 1.5689
Epoch 0 | Batch 45/830 | Current Loss: 1.7763
Epoch 0 | Batch 50/830 | Current Loss: 2.0358
Epoch 0 | Batch 55/830 | Current Loss: 1.5554
Epoch 0 | Batch 60/830 | Current Loss: 1.2421
Epoch 0 | Batch 65/830 | Current Loss: 2.3402
Epoch 0 | Batch 70/830 | Current Loss: 2.4837
Epoch 0 | Batch 75/830 | Current Loss: 1.6255
Epoch 0 | Batch 80/830 | Current Loss: 2.4346
Epoch 0 | Batch 85/830 | Current Loss: 2.3049
Epoch 0 | Batch 90/830 | Current Loss: 2.6242
Epoch 0 | Batch 95/830 | Current Loss: 2.2558
Epoch 0 | Batch 100/830 | Current Loss: 2.1161
Epoch 0 | Batch 105/830 | Current Loss: 2.8166
Epoch 0 | Batch 110/830 | Current Loss: 2.4029
Epoch 0 | Batch 115/830 | Current Loss: 1.7987
Epoch 0 | Batch 120/830 | Current Loss: 2.0075
Epoch 0 | Batch 125/830 | Current Loss: 1.7864
Epoch 0 | Batch 130/830 | Current Loss: 1.2619
Epoch 0 | Batch 135/830 | Current Loss: 2.0463
Epoch 0 | Batch 140/830 | Current Loss: 0.8696
Epoch 0 | Batch 145/830 | Current Loss: 4.0828
Epoch 0 | Batch 150/830 | Current Loss: 1.7639
Epoch 0 | Batch 155/830 | Current Loss: 2.1612
Epoch 0 | Batch 160/830 | Current Loss: 3.0984
Epoch 0 | Batch 165/830 | Current Loss: 3.0393
Epoch 0 | Batch 170/830 | Current Loss: 1.7840
Epoch 0 | Batch 175/830 | Current Loss: 1.8022
Epoch 0 | Batch 180/830 | Current Loss: 3.0083
Epoch 0 | Batch 185/830 | Current Loss: 2.4946
Epoch 0 | Batch 190/830 | Current Loss: 2.4585
Epoch 0 | Batch 195/830 | Current Loss: 3.3723
Epoch 0 | Batch 200/830 | Current Loss: 1.5934
Epoch 0 | Batch 205/830 | Current Loss: 2.2828
Epoch 0 | Batch 210/830 | Current Loss: 2.9851
Epoch 0 | Batch 215/830 | Current Loss: 1.3268
Epoch 0 | Batch 220/830 | Current Loss: 3.4824
Epoch 0 | Batch 225/830 | Current Loss: 1.8972
Epoch 0 | Batch 230/830 | Current Loss: 1.8611
Epoch 0 | Batch 235/830 | Current Loss: 1.4616
Epoch 0 | Batch 240/830 | Current Loss: 2.4755
Epoch 0 | Batch 245/830 | Current Loss: 1.4084
Epoch 0 | Batch 250/830 | Current Loss: 1.8088
Epoch 0 | Batch 255/830 | Current Loss: 3.6072
Epoch 0 | Batch 260/830 | Current Loss: 3.6960
Epoch 0 | Batch 265/830 | Current Loss: 3.4471
Epoch 0 | Batch 270/830 | Current Loss: 2.2078
Epoch 0 | Batch 275/830 | Current Loss: 1.9152
Epoch 0 | Batch 280/830 | Current Loss: 3.5771
Epoch 0 | Batch 285/830 | Current Loss: 1.8245
Epoch 0 | Batch 290/830 | Current Loss: 1.7634
Epoch 0 | Batch 295/830 | Current Loss: 1.7844
Epoch 0 | Batch 300/830 | Current Loss: 2.4511
Epoch 0 | Batch 305/830 | Current Loss: 2.0706
Epoch 0 | Batch 310/830 | Current Loss: 2.3992
Epoch 0 | Batch 315/830 | Current Loss: 1.6958
Epoch 0 | Batch 320/830 | Current Loss: 2.0646
Epoch 0 | Batch 325/830 | Current Loss: 3.0236
Epoch 0 | Batch 330/830 | Current Loss: 1.5801
Epoch 0 | Batch 335/830 | Current Loss: 3.3331
Epoch 0 | Batch 340/830 | Current Loss: 2.6864
Epoch 0 | Batch 345/830 | Current Loss: 1.8633
Epoch 0 | Batch 350/830 | Current Loss: 3.9429
Epoch 0 | Batch 355/830 | Current Loss: 1.7661
Epoch 0 | Batch 360/830 | Current Loss: 2.4203
Epoch 0 | Batch 365/830 | Current Loss: 2.4035
Epoch 0 | Batch 370/830 | Current Loss: 3.0282
Epoch 0 | Batch 375/830 | Current Loss: 2.8726
Epoch 0 | Batch 380/830 | Current Loss: 2.2520
Epoch 0 | Batch 385/830 | Current Loss: 2.0360
Epoch 0 | Batch 390/830 | Current Loss: 2.8659
Epoch 0 | Batch 395/830 | Current Loss: 2.8329
Epoch 0 | Batch 400/830 | Current Loss: 2.7230
Epoch 0 | Batch 405/830 | Current Loss: 3.2310
Epoch 0 | Batch 410/830 | Current Loss: 2.7876
Epoch 0 | Batch 415/830 | Current Loss: 3.7472
Epoch 0 | Batch 420/830 | Current Loss: 1.7138
Epoch 0 | Batch 425/830 | Current Loss: 2.8167
Epoch 0 | Batch 430/830 | Current Loss: 1.9824
Epoch 0 | Batch 435/830 | Current Loss: 1.8533
Epoch 0 | Batch 440/830 | Current Loss: 2.8157
Epoch 0 | Batch 445/830 | Current Loss: 2.6952
Epoch 0 | Batch 450/830 | Current Loss: 2.4367
Epoch 0 | Batch 455/830 | Current Loss: 2.7045
Epoch 0 | Batch 460/830 | Current Loss: 1.6761
Epoch 0 | Batch 465/830 | Current Loss: 2.1406
Epoch 0 | Batch 470/830 | Current Loss: 2.8719
Epoch 0 | Batch 475/830 | Current Loss: 1.7604
Epoch 0 | Batch 480/830 | Current Loss: 1.3162
Epoch 0 | Batch 485/830 | Current Loss: 2.2365
Epoch 0 | Batch 490/830 | Current Loss: 1.3194
Epoch 0 | Batch 495/830 | Current Loss: 2.3943
Epoch 0 | Batch 500/830 | Current Loss: 2.2790
Epoch 0 | Batch 505/830 | Current Loss: 1.3188
Epoch 0 | Batch 510/830 | Current Loss: 1.5770
Epoch 0 | Batch 515/830 | Current Loss: 2.1080
Epoch 0 | Batch 520/830 | Current Loss: 2.4557
Epoch 0 | Batch 525/830 | Current Loss: 1.2860
Epoch 0 | Batch 530/830 | Current Loss: 1.1384
Epoch 0 | Batch 535/830 | Current Loss: 1.7027
Epoch 0 | Batch 540/830 | Current Loss: 2.7871
Epoch 0 | Batch 545/830 | Current Loss: 1.4461
Epoch 0 | Batch 550/830 | Current Loss: 0.8343
Epoch 0 | Batch 555/830 | Current Loss: 1.6613
Epoch 0 | Batch 560/830 | Current Loss: 3.4241
Epoch 0 | Batch 565/830 | Current Loss: 2.0751
Epoch 0 | Batch 570/830 | Current Loss: 2.0093
Epoch 0 | Batch 575/830 | Current Loss: 2.3683
Epoch 0 | Batch 580/830 | Current Loss: 2.3842
Epoch 0 | Batch 585/830 | Current Loss: 2.5780
Epoch 0 | Batch 590/830 | Current Loss: 1.5621
Epoch 0 | Batch 595/830 | Current Loss: 2.7805
Epoch 0 | Batch 600/830 | Current Loss: 2.7240
Epoch 0 | Batch 605/830 | Current Loss: 1.2547
Epoch 0 | Batch 610/830 | Current Loss: 1.9158
Epoch 0 | Batch 615/830 | Current Loss: 2.7014
Epoch 0 | Batch 620/830 | Current Loss: 1.9858
Epoch 0 | Batch 625/830 | Current Loss: 2.0170
Epoch 0 | Batch 630/830 | Current Loss: 2.5896
Epoch 0 | Batch 635/830 | Current Loss: 2.4930
Epoch 0 | Batch 640/830 | Current Loss: 2.5851
Epoch 0 | Batch 645/830 | Current Loss: 1.8376
Epoch 0 | Batch 650/830 | Current Loss: 2.1395
Epoch 0 | Batch 655/830 | Current Loss: 2.6642
Epoch 0 | Batch 660/830 | Current Loss: 2.2717
Epoch 0 | Batch 665/830 | Current Loss: 1.7213
Epoch 0 | Batch 670/830 | Current Loss: 2.1086
Epoch 0 | Batch 675/830 | Current Loss: 3.0210
Epoch 0 | Batch 680/830 | Current Loss: 2.0056
Epoch 0 | Batch 685/830 | Current Loss: 1.5527
Epoch 0 | Batch 690/830 | Current Loss: 2.5058
Epoch 0 | Batch 695/830 | Current Loss: 2.1395
Epoch 0 | Batch 700/830 | Current Loss: 2.4515
Epoch 0 | Batch 705/830 | Current Loss: 1.9432
Epoch 0 | Batch 710/830 | Current Loss: 3.1374
Epoch 0 | Batch 715/830 | Current Loss: 2.6158
Epoch 0 | Batch 720/830 | Current Loss: 2.9635
Epoch 0 | Batch 725/830 | Current Loss: 1.9141
Epoch 0 | Batch 730/830 | Current Loss: 3.4841
Epoch 0 | Batch 735/830 | Current Loss: 2.6972
Epoch 0 | Batch 740/830 | Current Loss: 2.4492
Epoch 0 | Batch 745/830 | Current Loss: 1.3881
Epoch 0 | Batch 750/830 | Current Loss: 1.4910
Epoch 0 | Batch 755/830 | Current Loss: 3.5059
Epoch 0 | Batch 760/830 | Current Loss: 2.1345
Epoch 0 | Batch 765/830 | Current Loss: 2.5678
Epoch 0 | Batch 770/830 | Current Loss: 1.3238
Epoch 0 | Batch 775/830 | Current Loss: 1.5578
Epoch 0 | Batch 780/830 | Current Loss: 3.3304
Epoch 0 | Batch 785/830 | Current Loss: 3.3689
Epoch 0 | Batch 790/830 | Current Loss: 1.1952
Epoch 0 | Batch 795/830 | Current Loss: 1.6889
Epoch 0 | Batch 800/830 | Current Loss: 1.0385
Epoch 0 | Batch 805/830 | Current Loss: 1.8929
Epoch 0 | Batch 810/830 | Current Loss: 2.2315
Epoch 0 | Batch 815/830 | Current Loss: 2.1125
Epoch 0 | Batch 820/830 | Current Loss: 1.8023
Epoch 0 | Batch 825/830 | Current Loss: 2.5323
--- Epoch 0 Complete | Avg Train Loss: 2.2767 | Val Loss: 2.2899 ---
Epoch 1 | Batch 0/830 | Current Loss: 2.3471
Epoch 1 | Batch 5/830 | Current Loss: 1.4071
Epoch 1 | Batch 10/830 | Current Loss: 2.7899
Epoch 1 | Batch 15/830 | Current Loss: 1.9498
Epoch 1 | Batch 20/830 | Current Loss: 1.9909
Epoch 1 | Batch 25/830 | Current Loss: 2.8536
Epoch 1 | Batch 30/830 | Current Loss: 1.6676
Epoch 1 | Batch 35/830 | Current Loss: 1.8642
Epoch 1 | Batch 40/830 | Current Loss: 2.9761
Epoch 1 | Batch 45/830 | Current Loss: 1.5153
Epoch 1 | Batch 50/830 | Current Loss: 1.7120
Epoch 1 | Batch 55/830 | Current Loss: 2.8742
Epoch 1 | Batch 60/830 | Current Loss: 0.9600
Epoch 1 | Batch 65/830 | Current Loss: 1.9915
Epoch 1 | Batch 70/830 | Current Loss: 2.2420
Epoch 1 | Batch 75/830 | Current Loss: 1.6596
Epoch 1 | Batch 80/830 | Current Loss: 2.3530
Epoch 1 | Batch 85/830 | Current Loss: 1.4653
Epoch 1 | Batch 90/830 | Current Loss: 1.7363
Epoch 1 | Batch 95/830 | Current Loss: 1.8578
Epoch 1 | Batch 100/830 | Current Loss: 1.5998
Epoch 1 | Batch 105/830 | Current Loss: 1.8202
Epoch 1 | Batch 110/830 | Current Loss: 2.3923
Epoch 1 | Batch 115/830 | Current Loss: 1.7413
Epoch 1 | Batch 120/830 | Current Loss: 2.2029
Epoch 1 | Batch 125/830 | Current Loss: 2.4177
Epoch 1 | Batch 130/830 | Current Loss: 2.8385
Epoch 1 | Batch 135/830 | Current Loss: 2.6484
Epoch 1 | Batch 140/830 | Current Loss: 2.2346
Epoch 1 | Batch 145/830 | Current Loss: 3.2176
Epoch 1 | Batch 150/830 | Current Loss: 2.4200
Epoch 1 | Batch 155/830 | Current Loss: 4.1229
Epoch 1 | Batch 160/830 | Current Loss: 2.8941
Epoch 1 | Batch 165/830 | Current Loss: 1.6642
Epoch 1 | Batch 170/830 | Current Loss: 3.4764
Epoch 1 | Batch 175/830 | Current Loss: 3.0830
Epoch 1 | Batch 180/830 | Current Loss: 2.1775
Epoch 1 | Batch 185/830 | Current Loss: 2.9736
Epoch 1 | Batch 190/830 | Current Loss: 1.9002
Epoch 1 | Batch 195/830 | Current Loss: 1.9447
Epoch 1 | Batch 200/830 | Current Loss: 3.2661
Epoch 1 | Batch 205/830 | Current Loss: 2.4222
Epoch 1 | Batch 210/830 | Current Loss: 1.9983
Epoch 1 | Batch 215/830 | Current Loss: 2.9656
Epoch 1 | Batch 220/830 | Current Loss: 1.5933
Epoch 1 | Batch 225/830 | Current Loss: 1.3747
Epoch 1 | Batch 230/830 | Current Loss: 2.6052
Epoch 1 | Batch 235/830 | Current Loss: 2.1950
Epoch 1 | Batch 240/830 | Current Loss: 3.1696
Epoch 1 | Batch 245/830 | Current Loss: 2.2426
Epoch 1 | Batch 250/830 | Current Loss: 2.0309
Epoch 1 | Batch 255/830 | Current Loss: 1.9144
Epoch 1 | Batch 260/830 | Current Loss: 3.0080
Epoch 1 | Batch 265/830 | Current Loss: 1.7562
Epoch 1 | Batch 270/830 | Current Loss: 2.1173
Epoch 1 | Batch 275/830 | Current Loss: 1.4052
Epoch 1 | Batch 280/830 | Current Loss: 2.3437
Epoch 1 | Batch 285/830 | Current Loss: 2.4334
Epoch 1 | Batch 290/830 | Current Loss: 1.7421
Epoch 1 | Batch 295/830 | Current Loss: 2.1689
Epoch 1 | Batch 300/830 | Current Loss: 2.2490
Epoch 1 | Batch 305/830 | Current Loss: 2.0534
Epoch 1 | Batch 310/830 | Current Loss: 2.0766
Epoch 1 | Batch 315/830 | Current Loss: 2.2630
Epoch 1 | Batch 320/830 | Current Loss: 2.0233
Epoch 1 | Batch 325/830 | Current Loss: 1.9532
Epoch 1 | Batch 330/830 | Current Loss: 1.9904
Epoch 1 | Batch 335/830 | Current Loss: 1.4253
Epoch 1 | Batch 340/830 | Current Loss: 1.4995
Epoch 1 | Batch 345/830 | Current Loss: 2.1603
Epoch 1 | Batch 350/830 | Current Loss: 2.1635
Epoch 1 | Batch 355/830 | Current Loss: 2.9970
Epoch 1 | Batch 360/830 | Current Loss: 2.1478
Epoch 1 | Batch 365/830 | Current Loss: 1.8274
Epoch 1 | Batch 370/830 | Current Loss: 1.8345
Epoch 1 | Batch 375/830 | Current Loss: 3.5191
Epoch 1 | Batch 380/830 | Current Loss: 2.6231
Epoch 1 | Batch 385/830 | Current Loss: 2.5377
Epoch 1 | Batch 390/830 | Current Loss: 1.9001
Epoch 1 | Batch 395/830 | Current Loss: 3.0558
Epoch 1 | Batch 400/830 | Current Loss: 2.1786
Epoch 1 | Batch 405/830 | Current Loss: 2.5094
Epoch 1 | Batch 410/830 | Current Loss: 1.8507
Epoch 1 | Batch 415/830 | Current Loss: 2.3728
Epoch 1 | Batch 420/830 | Current Loss: 2.1152
