
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.6583
Epoch 0 | Batch 5/830 | Current Loss: 2.1520
Epoch 0 | Batch 10/830 | Current Loss: 1.3243
Epoch 0 | Batch 15/830 | Current Loss: 2.7492
Epoch 0 | Batch 20/830 | Current Loss: 4.4271
Epoch 0 | Batch 25/830 | Current Loss: 2.6945
Epoch 0 | Batch 30/830 | Current Loss: 1.0730
Epoch 0 | Batch 35/830 | Current Loss: 0.9947
Epoch 0 | Batch 40/830 | Current Loss: 1.3248
Epoch 0 | Batch 45/830 | Current Loss: 1.6081
Epoch 0 | Batch 50/830 | Current Loss: 1.2417
Epoch 0 | Batch 55/830 | Current Loss: 1.8655
Epoch 0 | Batch 60/830 | Current Loss: 2.6789
Epoch 0 | Batch 65/830 | Current Loss: 3.3605
Epoch 0 | Batch 70/830 | Current Loss: 2.3842
Epoch 0 | Batch 75/830 | Current Loss: 3.2350
Epoch 0 | Batch 80/830 | Current Loss: 1.8619
Epoch 0 | Batch 85/830 | Current Loss: 1.3935
Epoch 0 | Batch 90/830 | Current Loss: 2.9883
Epoch 0 | Batch 95/830 | Current Loss: 2.2748
Epoch 0 | Batch 100/830 | Current Loss: 2.2559
Epoch 0 | Batch 105/830 | Current Loss: 1.8774
Epoch 0 | Batch 110/830 | Current Loss: 1.6082
Epoch 0 | Batch 115/830 | Current Loss: 2.9295
Epoch 0 | Batch 120/830 | Current Loss: 1.4246
Epoch 0 | Batch 125/830 | Current Loss: 1.1653
Epoch 0 | Batch 130/830 | Current Loss: 1.3171
Epoch 0 | Batch 135/830 | Current Loss: 1.2914
Epoch 0 | Batch 140/830 | Current Loss: 2.5246
Epoch 0 | Batch 145/830 | Current Loss: 1.4263
Epoch 0 | Batch 150/830 | Current Loss: 2.0271
Epoch 0 | Batch 155/830 | Current Loss: 3.3610
Epoch 0 | Batch 160/830 | Current Loss: 2.3669
Epoch 0 | Batch 165/830 | Current Loss: 1.1330
Epoch 0 | Batch 170/830 | Current Loss: 1.6514
Epoch 0 | Batch 175/830 | Current Loss: 1.8709
Epoch 0 | Batch 180/830 | Current Loss: 1.0881
Epoch 0 | Batch 185/830 | Current Loss: 2.2163
Epoch 0 | Batch 190/830 | Current Loss: 2.0721
