
--- Initializing Active Sweep Agent Run on Device: cuda ---
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Indexing valid set...
Epoch 0 | Batch 0/830 | Current Loss: 2.8351
Epoch 0 | Batch 5/830 | Current Loss: 2.8524
Epoch 0 | Batch 10/830 | Current Loss: 2.8960
Epoch 0 | Batch 15/830 | Current Loss: 2.6474
Epoch 0 | Batch 20/830 | Current Loss: 2.3808
Epoch 0 | Batch 25/830 | Current Loss: 2.4201
Epoch 0 | Batch 30/830 | Current Loss: 2.3214
Epoch 0 | Batch 35/830 | Current Loss: 2.6029
Epoch 0 | Batch 40/830 | Current Loss: 2.4393
Epoch 0 | Batch 45/830 | Current Loss: 1.8644
Epoch 0 | Batch 50/830 | Current Loss: 2.2810
Epoch 0 | Batch 55/830 | Current Loss: 2.4281
Epoch 0 | Batch 60/830 | Current Loss: 2.0831
Epoch 0 | Batch 65/830 | Current Loss: 2.3953
Epoch 0 | Batch 70/830 | Current Loss: 2.3737
Epoch 0 | Batch 75/830 | Current Loss: 2.4156
Epoch 0 | Batch 80/830 | Current Loss: 2.0876
Epoch 0 | Batch 85/830 | Current Loss: 2.1097
Epoch 0 | Batch 90/830 | Current Loss: 2.2710
Epoch 0 | Batch 95/830 | Current Loss: 2.3525
Epoch 0 | Batch 100/830 | Current Loss: 2.4886
Epoch 0 | Batch 105/830 | Current Loss: 2.3224
Epoch 0 | Batch 110/830 | Current Loss: 2.1061
Epoch 0 | Batch 115/830 | Current Loss: 2.1066
Epoch 0 | Batch 120/830 | Current Loss: 1.7312
Epoch 0 | Batch 125/830 | Current Loss: 1.7409
Epoch 0 | Batch 130/830 | Current Loss: 1.9902
Epoch 0 | Batch 135/830 | Current Loss: 1.9697
Epoch 0 | Batch 140/830 | Current Loss: 2.1718
Epoch 0 | Batch 145/830 | Current Loss: 2.1169
Epoch 0 | Batch 150/830 | Current Loss: 2.0635
Epoch 0 | Batch 155/830 | Current Loss: 3.0873
Epoch 0 | Batch 160/830 | Current Loss: 2.6305
Epoch 0 | Batch 165/830 | Current Loss: 2.4580
Epoch 0 | Batch 170/830 | Current Loss: 1.5112
Epoch 0 | Batch 175/830 | Current Loss: 2.3412
Epoch 0 | Batch 180/830 | Current Loss: 2.6314
Epoch 0 | Batch 185/830 | Current Loss: 2.3308
Epoch 0 | Batch 190/830 | Current Loss: 2.1173
Epoch 0 | Batch 195/830 | Current Loss: 1.4951
Epoch 0 | Batch 200/830 | Current Loss: 1.9702
Epoch 0 | Batch 205/830 | Current Loss: 2.7187
Epoch 0 | Batch 210/830 | Current Loss: 1.8665
Epoch 0 | Batch 215/830 | Current Loss: 1.8982
Epoch 0 | Batch 220/830 | Current Loss: 2.0429
Epoch 0 | Batch 225/830 | Current Loss: 1.1864
Epoch 0 | Batch 230/830 | Current Loss: 2.2437
Epoch 0 | Batch 235/830 | Current Loss: 2.2194
Epoch 0 | Batch 240/830 | Current Loss: 2.9467
Epoch 0 | Batch 245/830 | Current Loss: 2.2839
Epoch 0 | Batch 250/830 | Current Loss: 2.9079
Epoch 0 | Batch 255/830 | Current Loss: 2.1709
Epoch 0 | Batch 260/830 | Current Loss: 1.7654
Epoch 0 | Batch 265/830 | Current Loss: 2.2867
Epoch 0 | Batch 270/830 | Current Loss: 2.2446
Epoch 0 | Batch 275/830 | Current Loss: 1.7026
Epoch 0 | Batch 280/830 | Current Loss: 1.8924
Epoch 0 | Batch 285/830 | Current Loss: 2.4765
Epoch 0 | Batch 290/830 | Current Loss: 1.5633
Epoch 0 | Batch 295/830 | Current Loss: 2.7441
Epoch 0 | Batch 300/830 | Current Loss: 1.7285
Epoch 0 | Batch 305/830 | Current Loss: 1.4539
Epoch 0 | Batch 310/830 | Current Loss: 1.9291
Epoch 0 | Batch 315/830 | Current Loss: 1.5467
Epoch 0 | Batch 320/830 | Current Loss: 2.3702
Epoch 0 | Batch 325/830 | Current Loss: 1.9340
Epoch 0 | Batch 330/830 | Current Loss: 2.8325
Epoch 0 | Batch 335/830 | Current Loss: 2.4002
Epoch 0 | Batch 340/830 | Current Loss: 2.8456
Epoch 0 | Batch 345/830 | Current Loss: 2.1650
Epoch 0 | Batch 350/830 | Current Loss: 2.2891
Epoch 0 | Batch 355/830 | Current Loss: 1.7894
Epoch 0 | Batch 360/830 | Current Loss: 2.3307
Epoch 0 | Batch 365/830 | Current Loss: 1.9305
Epoch 0 | Batch 370/830 | Current Loss: 2.1900
Epoch 0 | Batch 375/830 | Current Loss: 2.4410
Epoch 0 | Batch 380/830 | Current Loss: 2.6174
Epoch 0 | Batch 385/830 | Current Loss: 1.6984
Epoch 0 | Batch 390/830 | Current Loss: 2.0750
Epoch 0 | Batch 395/830 | Current Loss: 1.4984
Epoch 0 | Batch 400/830 | Current Loss: 1.8196
